epoch;step;loss_value;timestamp
0;1;6.479693412780762;2023-04-30 21:44:05
0;101;4.687127113342285;2023-04-30 21:46:56
0;201;4.290553092956543;2023-04-30 21:49:49
0;301;4.283594131469727;2023-04-30 21:52:37
1;1;4.481784820556641;2023-04-30 21:54:06
1;101;4.253295421600342;2023-04-30 21:56:56
1;201;3.886894464492798;2023-04-30 21:59:47
1;301;4.044566631317139;2023-04-30 22:02:36
2;1;4.142693042755127;2023-04-30 22:04:03
2;101;4.122809410095215;2023-04-30 22:06:57
2;201;3.7961015701293945;2023-04-30 22:09:51
2;301;3.9342823028564453;2023-04-30 22:12:45
3;1;4.000761985778809;2023-04-30 22:14:15
3;101;3.8565943241119385;2023-04-30 22:17:01
3;201;3.6114492416381836;2023-04-30 22:19:47
3;301;3.838559150695801;2023-04-30 22:22:36
4;1;3.9407413005828857;2023-04-30 22:24:07
4;101;3.722198963165283;2023-04-30 22:26:54
4;201;3.6171889305114746;2023-04-30 22:29:09
4;301;3.555027723312378;2023-04-30 22:31:23
5;1;3.8095808029174805;2023-04-30 22:32:38
5;101;3.517998218536377;2023-04-30 22:35:08
5;201;3.2833147048950195;2023-04-30 22:37:45
5;301;3.572014331817627;2023-04-30 22:40:37
6;1;3.6636135578155518;2023-04-30 22:42:08
6;101;3.375047206878662;2023-04-30 22:45:00
6;201;3.2585244178771973;2023-04-30 22:47:47
6;301;3.3170676231384277;2023-04-30 22:50:36
7;1;3.648928642272949;2023-04-30 22:52:06
7;101;3.1833009719848633;2023-04-30 22:54:57
7;201;3.1355011463165283;2023-04-30 22:57:43
7;301;3.330350160598755;2023-04-30 23:00:40
8;1;3.4943630695343018;2023-04-30 23:02:11
8;101;3.0936787128448486;2023-04-30 23:05:08
8;201;3.1138157844543457;2023-04-30 23:08:04
8;301;3.076442241668701;2023-04-30 23:10:54
9;1;3.4401350021362305;2023-04-30 23:12:23
9;101;3.074355125427246;2023-04-30 23:15:12
9;201;2.996367931365967;2023-04-30 23:18:02
9;301;2.8811936378479004;2023-04-30 23:20:55
