epoch;step;loss_value;timestamp
0;1;3.8906729221343994;2023-04-30 09:55:54
0;101;2.3952624797821045;2023-04-30 09:58:07
0;201;2.1150717735290527;2023-04-30 10:00:19
0;301;2.047786235809326;2023-04-30 10:02:31
1;1;2.1020421981811523;2023-04-30 10:03:39
1;101;1.862305760383606;2023-04-30 10:05:51
1;201;1.9276988506317139;2023-04-30 10:08:03
1;301;1.7778935432434082;2023-04-30 10:10:15
2;1;2.020401954650879;2023-04-30 10:11:24
2;101;1.66214120388031;2023-04-30 10:13:35
2;201;1.827000617980957;2023-04-30 10:15:48
2;301;1.5778251886367798;2023-04-30 10:17:59
3;1;1.6752574443817139;2023-04-30 10:19:08
3;101;1.5444144010543823;2023-04-30 10:21:20
3;201;1.7431514263153076;2023-04-30 10:23:32
3;301;1.4625883102416992;2023-04-30 10:25:45
4;1;1.6616538763046265;2023-04-30 10:26:54
4;101;1.3924671411514282;2023-04-30 10:29:06
4;201;1.528525710105896;2023-04-30 10:31:19
4;301;1.4516024589538574;2023-04-30 10:33:33
5;1;1.3410077095031738;2023-04-30 10:34:41
5;101;1.2636628150939941;2023-04-30 10:36:55
5;201;1.3929340839385986;2023-04-30 10:39:08
5;301;1.2847847938537598;2023-04-30 10:41:21
6;1;1.386796474456787;2023-04-30 10:42:30
6;101;1.2342174053192139;2023-04-30 10:44:42
6;201;1.2809386253356934;2023-04-30 10:46:55
6;301;1.2278317213058472;2023-04-30 10:49:07
7;1;1.3325169086456299;2023-04-30 10:50:16
7;101;1.218332290649414;2023-04-30 10:52:29
7;201;1.2531969547271729;2023-04-30 10:54:41
7;301;1.2109276056289673;2023-04-30 10:56:54
8;1;1.150406837463379;2023-04-30 10:58:02
8;101;1.1030791997909546;2023-04-30 11:00:15
8;201;1.1961983442306519;2023-04-30 11:02:28
8;301;1.004647970199585;2023-04-30 11:04:41
9;1;1.0739060640335083;2023-04-30 11:05:50
9;101;1.0411767959594727;2023-04-30 11:08:03
9;201;1.0393400192260742;2023-04-30 11:10:16
9;301;1.0401674509048462;2023-04-30 11:12:30
