epoch;precision;recall;accuracy;f1;timestamp
0;0.1360150088412462;0.12938044068481397;0.18386568386568386;0.11213954524251994;;2023-05-05 12:32:53
1;0.22271115423438884;0.19630239590250173;0.2534807534807535;0.18692862742570518;;2023-05-05 12:33:01
2;0.2972241537596345;0.2793332920136621;0.32992082992082994;0.27828849351102247;;2023-05-05 12:33:08
3;0.3734299106045641;0.35674914634891297;0.40485940485940486;0.35937989282781524;;2023-05-05 12:33:16
4;0.4471135621006178;0.4190151834443946;0.4686049686049686;0.42475367578356804;;2023-05-05 12:33:23
5;0.4843544555087996;0.4714538971133198;0.5122850122850123;0.47456602493835176;;2023-05-05 12:33:30
6;0.5399477294134659;0.5170460423811322;0.5563745563745564;0.5245751923330111;;2023-05-05 12:33:37
7;0.5704672165347623;0.5548925032134199;0.5941850941850941;0.5608770375718511;;2023-05-05 12:33:44
8;0.5893219973132839;0.5837888576888568;0.6158886158886159;0.5844053782253129;;2023-05-05 12:33:51
9;0.6093919653433664;0.5926255220714329;0.6285831285831286;0.5986234624041945;;2023-05-05 12:33:59
