epoch;precision;recall;accuracy;f1;timestamp
0;0.3113074348975099;0.3173245843527614;0.3176;0.2883202449579626;2023-05-07 19:36:12
1;0.3606274800054801;0.35571588368546625;0.3536;0.340392348935511;2023-05-07 19:36:56
2;0.40028446147996305;0.39346326946680604;0.3944;0.38406112852346996;2023-05-07 19:37:39
3;0.41918636722519836;0.4075556599130298;0.408;0.4019520431407339;2023-05-07 19:38:22
4;0.4388307879889333;0.43861546070268653;0.4384;0.43377504290483787;2023-05-07 19:39:05
5;0.46025892375196314;0.4548475448925827;0.4552;0.4523340494464668;2023-05-07 19:39:48
6;0.462042049760705;0.45262711046103704;0.4532;0.45235140847621197;2023-05-07 19:40:31
7;0.4715873340504335;0.4551388266626894;0.4562;0.45761283779983086;2023-05-07 19:41:14
8;0.4851158648032377;0.4719581146420898;0.4724;0.46941463004012113;2023-05-07 19:41:57
9;0.48222435728412094;0.48365275871212887;0.4838;0.4786905251011942;2023-05-07 19:42:40
