epoch;precision;recall;accuracy;f1;timestamp
0;0.08209484534262561;0.09500730098107336;0.097;0.07007647417422108;2023-05-07 20:09:45
1;0.12835825619421803;0.136407460132232;0.1378;0.11379811476542438;2023-05-07 20:10:15
2;0.1997803377583427;0.16607397054396494;0.1694;0.15195519200183916;2023-05-07 20:10:44
3;0.2025528880967676;0.19210374428841934;0.197;0.17949537932041934;2023-05-07 20:11:13
4;0.21909683112108586;0.20527675355655944;0.2072;0.19178642196298476;2023-05-07 20:11:42
5;0.22440688396025632;0.21944639310622796;0.2204;0.20513818811907952;2023-05-07 20:12:11
6;0.24883472263749695;0.2335264138616013;0.233;0.22032916063913333;2023-05-07 20:12:41
7;0.2623335001663594;0.24228407715901124;0.2426;0.23241456835369564;2023-05-07 20:13:10
8;0.2658558580616424;0.25283049159313814;0.255;0.24375747096662942;2023-05-07 20:13:39
9;0.2773734750100228;0.2575027060207924;0.2596;0.25437137428034673;2023-05-07 20:14:08
