epoch;precision;recall;accuracy;f1;timestamp
0;0.26874173150490754;0.2633977972215425;0.2634;0.26190889274567014;;2023-05-05 13:42:09
1;0.3108021956896233;0.30618659182328245;0.307;0.30316366709379927;;2023-05-05 13:42:14
2;0.340878661209583;0.34561566672956223;0.3444;0.3390373864487264;;2023-05-05 13:42:19
3;0.3639927136076182;0.36650327222590745;0.367;0.3630250655260546;;2023-05-05 13:42:25
4;0.3845143252649541;0.3860511557455028;0.3864;0.38455410912617;;2023-05-05 13:42:30
5;0.40686285727792243;0.3967141946396458;0.3978;0.39660210570574994;;2023-05-05 13:42:35
6;0.4003634656863251;0.40257489758322207;0.4016;0.3908297070051564;;2023-05-05 13:42:41
7;0.4017980138022984;0.39952428749189717;0.3992;0.39877099462341314;;2023-05-05 13:42:46
8;0.4213305762876809;0.4194464147075351;0.4196;0.4147101173987151;;2023-05-05 13:42:51
9;0.41217579211074395;0.4172608435272669;0.4168;0.41134861184017135;;2023-05-05 13:42:56
