epoch;precision;recall;accuracy;f1;timestamp
0;0.08364016455435765;0.11382815923480863;0.17035217035217035;0.07629543615163784;2023-05-07 15:17:17
1;0.09140035719477183;0.12346001797859336;0.1928746928746929;0.08338002748730718;2023-05-07 15:18:36
2;0.2007142383366391;0.20455563061039223;0.2654927654927655;0.17217775900773985;2023-05-07 15:19:54
3;0.49931929066084624;0.4419125933982862;0.48675948675948677;0.4306652429016406;2023-05-07 15:21:12
4;0.5964676413033589;0.5589702045587112;0.5997815997815997;0.5599377272971542;2023-05-07 15:22:30
5;0.6934904345148732;0.6558453963549804;0.6917826917826918;0.6658514053727851;2023-05-07 15:23:48
6;0.7211895505705977;0.7126755387489597;0.735053235053235;0.714442934208815;2023-05-07 15:25:06
7;0.6518038606857222;0.5968713954569476;0.6411411411411412;0.6083421045662579;2023-05-07 15:26:24
8;0.769271675942436;0.7392399059670245;0.7652197652197652;0.7482163765619019;2023-05-07 15:27:42
9;0.7801100219100128;0.7710278926616498;0.7873327873327873;0.7707951522327563;2023-05-07 15:29:00
