epoch;precision;recall;accuracy;f1;timestamp
0;0.04771705277194458;0.09884696042630034;0.18058968058968058;0.03909654635160783;2023-05-07 16:21:51
1;0.07338243131120954;0.12341522604419311;0.19806169806169807;0.06384115133107422;2023-05-07 16:23:42
2;0.27400919957669134;0.2698147468193384;0.3482118482118482;0.23178544490826472;2023-05-07 16:25:32
3;0.535904958771751;0.529866196028648;0.5554190554190555;0.5186477620042245;2023-05-07 16:27:22
4;0.6553202575668672;0.6146785119341758;0.6528801528801529;0.6264957693650554;2023-05-07 16:29:12
5;0.7003148324381511;0.676676577516673;0.702020202020202;0.6845326331957832;2023-05-07 16:31:01
6;0.726502313856491;0.7063632412016796;0.7250887250887251;0.7096038368540686;2023-05-07 16:32:51
7;0.7498930554199256;0.7159394981442986;0.7413322413322413;0.7273834600970533;2023-05-07 16:34:41
8;0.7454523190581372;0.7176542450281895;0.7233142233142233;0.7232647519197363;2023-05-07 16:36:31
9;0.7652572365988115;0.7457455949845777;0.7641277641277642;0.7508702791707765;2023-05-07 16:38:21
