epoch_number,batch_size,framework,dataset,model,power,temp,mem_used,gpu_util,mem_util,total_time,precision,recall,accuracy,f1,energy
9,128,tensorflow,CIFAR100,resnet50,160.113,44.78,38907.0,87.932,6.564,11.5,0.2,0.192,0.194,0.186,1841.3
9,128,tensorflow,SVHN,resnet101,173.349,45.219,38907.0,85.627,5.962,33.0,0.771,0.758,0.777,0.762,5720.517
9,128,tensorflow,SVHN,resnet152,176.495,47.599,38907.0,86.521,5.726,48.0,0.72,0.703,0.724,0.709,8471.76
9,128,tensorflow,SVHN,resnet50,155.386,42.656,38907.0,86.125,6.781,16.0,0.805,0.797,0.812,0.8,2486.176
9,256,tensorflow,CIFAR10,resnet101,161.746,43.657,38907.0,81.019,8.8,14.5,0.451,0.45,0.45,0.448,2345.317
9,256,tensorflow,CIFAR10,resnet152,164.093,43.543,38907.0,79.713,7.93,20.5,0.436,0.428,0.429,0.429,3363.906
9,256,tensorflow,CIFAR10,resnet50,166.52,43.205,38907.0,88.339,10.455,7.5,0.428,0.433,0.433,0.428,1248.9
9,256,tensorflow,CIFAR100,resnet101,167.0,44.893,38907.0,80.857,9.036,14.0,0.16,0.158,0.16,0.148,2338.0
9,256,tensorflow,CIFAR100,resnet152,150.257,41.262,38907.0,75.45,7.65,22.0,0.147,0.145,0.148,0.135,3305.654
9,256,tensorflow,CIFAR100,resnet50,167.038,43.357,38907.0,86.5,10.357,7.0,0.161,0.158,0.16,0.152,1169.266
9,256,tensorflow,SVHN,resnet101,160.057,43.452,38907.0,78.619,8.571,21.0,0.706,0.692,0.714,0.696,3361.197
9,256,tensorflow,SVHN,resnet152,165.032,42.45,38907.0,81.05,8.017,30.5,0.679,0.645,0.676,0.657,5033.476
9,256,tensorflow,SVHN,resnet50,178.452,44.2,38907.0,87.8,10.5,10.5,0.761,0.752,0.772,0.754,1873.746
9,32,tensorflow,CIFAR10,resnet101,130.897,40.339,38907.0,84.604,4.726,52.5,0.482,0.466,0.466,0.462,6872.092
