1;1;944
2;1;560
4;1;299
8;1;120
1;2;536
2;2;275
4;2;178
8;2;116
1;3;529
2;3;277
4;3;173
8;3;111
1;4;531
2;4;282
4;4;171
8;4;113
1;5;527
2;5;281
4;5;171
8;5;111
1;6;528
2;6;286
4;6;166
8;6;140
1;7;529
2;7;285
4;7;203
8;7;187
1;8;533
2;8;417
4;8;416
8;8;373
1;9;1254
2;9;665
4;9;539
8;9;465
1;10;1192
2;10;676
4;10;624
8;10;630
1;11;1309
2;11;652
4;11;769
8;11;639
1;12;805
2;12;784
4;12;874
8;12;668
1;13;1121
2;13;812
4;13;929
8;13;719
1;14;1202
2;14;826
4;14;1056
8;14;951
1;15;1320
2;15;800
4;15;1019
8;15;788
1;16;1277
2;16;2747
4;16;1148
8;16;934
1;17;2210
2;17;1267
4;17;1322
8;17;1116
1;18;2097
2;18;1384
4;18;1398
8;18;1259
1;19;2214
2;19;1437
4;19;1605
8;19;1142
1;20;2701
2;20;1480
4;20;2144
8;20;1426
1;21;2690
2;21;1366
4;21;1518
8;21;1423
1;22;2733
2;22;1920
4;22;2242
8;22;4787
