Threads;Hash_Bits;Running Time (ms)
1;1;1238
2;1;726
4;1;401
8;1;230
16;1;153
32;1;148
1;2;1242
2;2;618
4;2;336
8;2;216
16;2;148
32;2;156
1;3;1228
2;3;620
4;3;354
8;3;209
16;3;146
32;3;142
1;4;1226
2;4;627
4;4;342
8;4;203
16;4;143
32;4;161
1;5;1222
2;5;624
4;5;345
8;5;198
16;5;175
32;5;213
1;6;1217
2;6;621
4;6;337
8;6;232
16;6;227
32;6;310
1;7;1219
2;7;606
4;7;355
8;7;280
16;7;279
32;7;386
1;8;1227
2;8;630
4;8;369
8;8;364
16;8;378
32;8;725
1;9;1247
2;9;682
4;9;503
8;9;495
16;9;371
32;9;445
1;10;1224
2;10;727
4;10;628
8;10;589
16;10;477
32;10;464
1;11;1321
2;11;672
4;11;821
8;11;694
16;11;510
32;11;456
1;12;593
2;12;915
4;12;993
8;12;723
16;12;604
32;12;451
1;13;1458
2;13;797
4;13;891
8;13;771
16;13;656
32;13;640
1;14;677
2;14;853
4;14;964
8;14;828
16;14;719
32;14;498
1;15;773
2;15;819
4;15;972
8;15;843
16;15;747
32;15;543
1;16;1927
2;16;1100
4;16;1196
8;16;811
16;16;749
32;16;527
1;17;2187
2;17;1270
4;17;837
8;17;740
16;17;717
32;17;571
1;18;2458
2;18;1236
4;18;875
8;18;920
16;18;849
32;18;563
1;19;2651
2;19;1337
4;19;1055
8;19;1009
16;19;943
32;19;567
1;20;2700
2;20;1395
4;20;914
8;20;1214
16;20;790
32;20;580
1;21;2676
2;21;1539
4;21;2631
8;21;1487
16;21;1160
32;21;2688
1;22;2745
2;22;1928
4;22;1826
8;22;1652
16;22;8146
32;22;1227
