Threads;Hash_Bits;Running Time (ms)
1;1;370
2;1;141
4;1;81
8;1;61
1;2;222
2;2;140
4;2;65
8;2;42
1;3;221
2;3;124
4;3;76
8;3;45
1;4;198
2;4;93
4;4;60
8;4;52
1;5;207
2;5;161
4;5;67
8;5;41
1;6;180
2;6;90
4;6;69
8;6;43
1;7;180
2;7;124
4;7;62
8;7;47
1;8;192
2;8;91
4;8;83
8;8;56
1;9;221
2;9;116
4;9;97
8;9;61
1;10;223
2;10;125
4;10;77
8;10;54
1;11;214
2;11;92
4;11;99
8;11;55
1;12;204
2;12;180
4;12;95
8;12;68
1;13;246
2;13;202
4;13;103
8;13;83
1;14;271
2;14;207
4;14;126
8;14;96
1;15;310
2;15;264
4;15;128
8;15;126
1;16;352
2;16;297
4;16;214
8;16;161
1;17;521
2;17;494
4;17;279
8;17;170
1;18;711
2;18;556
4;18;290
8;18;120
1;19;691
2;19;542
4;19;282
8;19;92
1;20;868
2;20;532
4;20;207
8;20;78
1;21;870
2;21;433
4;21;194
8;21;101
1;22;910
2;22;469
4;22;205
8;22;84
1;23;851
2;23;425
4;23;196
8;23;95
1;24;924
2;24;443
4;24;196
8;24;101
1;25;924
2;25;510
4;25;281
8;25;168
1;26;990
2;26;712
4;26;360
8;26;210
