Threads;Hash_Bits;Running Time (ms)
1;1;275
2;1;146
4;1;87
8;1;49
1;2;271
2;2;177
4;2;83
8;2;51
1;3;179
2;3;111
4;3;69
8;3;46
1;4;172
2;4;105
4;4;95
8;4;39
1;5;191
2;5;167
4;5;79
8;5;42
1;6;179
2;6;134
4;6;65
8;6;57
1;7;215
2;7;174
4;7;57
8;7;41
1;8;167
2;8;77
4;8;86
8;8;46
1;9;171
2;9;107
4;9;73
8;9;57
1;10;206
2;10;168
4;10;87
8;10;52
1;11;204
2;11;157
4;11;71
8;11;53
1;12;207
2;12;192
4;12;104
8;12;67
1;13;248
2;13;203
4;13;110
8;13;84
1;14;265
2;14;176
4;14;102
8;14;91
1;15;298
2;15;202
4;15;151
8;15;114
1;16;327
2;16;286
4;16;205
8;16;174
1;17;479
2;17;427
4;17;258
8;17;147
1;18;607
2;18;515
4;18;315
8;18;110
1;19;709
2;19;566
4;19;241
8;19;99
1;20;861
2;20;502
4;20;213
8;20;92
1;21;860
2;21;432
4;21;206
8;21;97
1;22;826
2;22;402
4;22;174
8;22;99
1;23;796
2;23;371
4;23;191
8;23;87
1;24;817
2;24;436
4;24;215
8;24;117
1;25;1000
2;25;511
4;25;260
8;25;143
1;26;1125
2;26;701
4;26;422
8;26;164
