Threads;Hash_Bits;Running Time (ms)
1;1;248
2;1;187
4;1;87
8;1;55
1;2;266
2;2;141
4;2;63
8;2;50
1;3;185
2;3;116
4;3;78
8;3;56
1;4;229
2;4;142
4;4;68
8;4;44
1;5;179
2;5;134
4;5;71
8;5;44
1;6;181
2;6;110
4;6;58
8;6;56
1;7;234
2;7;122
4;7;82
8;7;58
1;8;221
2;8;113
4;8;76
8;8;47
1;9;186
2;9;134
4;9;76
8;9;49
1;10;187
2;10;130
4;10;73
8;10;65
1;11;206
2;11;187
4;11;80
8;11;54
1;12;214
2;12;119
4;12;101
8;12;56
1;13;244
2;13;191
4;13;111
8;13;72
1;14;265
2;14;206
4;14;146
8;14;81
1;15;285
2;15;237
4;15;164
8;15;139
1;16;390
2;16;305
4;16;214
8;16;146
1;17;503
2;17;470
4;17;261
8;17;141
1;18;611
2;18;513
4;18;286
8;18;89
1;19;707
2;19;539
4;19;297
8;19;73
1;20;833
2;20;510
4;20;169
8;20;75
1;21;904
2;21;414
4;21;190
8;21;85
1;22;807
2;22;408
4;22;192
8;22;100
1;23;849
2;23;399
4;23;205
8;23;90
1;24;859
2;24;428
4;24;211
8;24;88
1;25;945
2;25;511
4;25;245
8;25;155
1;26;1065
2;26;598
4;26;370
8;26;197
