bits;1;2;4;8;16;32
1;5.46876;9.95592;12.7232;21.4253;19.0583;12.7654
2;7.0697;8.32578;13.3208;21.5309;18.8675;12.612
3;8.91282;10.9086;12.7193;22.1536;18.9855;12.4657
4;9.01944;11.3291;13.3068;21.5213;23.0751;15.0017
5;8.98346;8.91077;15.2314;22.0412;23.5379;12.933
6;8.91002;10.6659;15.3005;21.9688;22.464;15.1502
7;8.90337;11.6829;14.5296;22.6462;22.8271;13.0699
8;9.06264;9.57124;13.7671;19.9595;21.1022;12.9002
9;5.94831;10.9174;13.8597;20.7325;24.2463;13.348
10;7.70184;12.5566;15.3535;21.467;18.9122;13.522
11;7.82729;10.2846;12.9508;22.505;24.214;22.2463
12;9.15217;11.4599;13.657;22.1281;19.4611;12.6643
13;9.01302;10.5407;15.0352;21.718;20.4487;14.919
14;9.42573;7.96261;15.0282;21.3765;18.9112;13.8005
15;8.2251;14.6148;16.069;22.0627;19.5933;15.5785
16;9.8745;14.4375;15.1458;21.0828;18.6427;12.2323
17;10.0394;14.0687;15.6182;20.9367;17.2654;19.3515
18;6.09264;14.3795;14.6474;18.8401;19.7451;16.4265
