Threads;Hash_Bits;Running Time (ms)
1;1;160
2;1;132
4;1;100
8;1;59
1;2;258
2;2;126
4;2;59
8;2;44
1;3;194
2;3;169
4;3;70
8;3;43
1;4;166
2;4;226
4;4;75
8;4;39
1;5;185
2;5;176
4;5;63
8;5;40
1;6;175
2;6;134
4;6;66
8;6;43
1;7;186
2;7;128
4;7;58
8;7;51
1;8;202
2;8;170
4;8;90
8;8;47
1;9;180
2;9;140
4;9;83
8;9;50
1;10;190
2;10;95
4;10;93
8;10;63
1;11;212
2;11;204
4;11;89
8;11;64
1;12;242
2;12;131
4;12;91
8;12;74
1;13;238
2;13;224
4;13;96
8;13;78
1;14;286
2;14;182
4;14;137
8;14;94
1;15;321
2;15;355
4;15;158
8;15;100
1;16;361
2;16;336
4;16;225
8;16;166
1;17;572
2;17;501
4;17;306
8;17;133
1;18;610
2;18;518
4;18;371
8;18;164
1;19;972
2;19;772
4;19;327
8;19;95
1;20;855
2;20;566
4;20;160
8;20;86
1;21;864
2;21;440
4;21;216
8;21;124
1;22;987
2;22;455
4;22;189
8;22;90
1;23;852
2;23;374
4;23;200
8;23;95
1;24;819
2;24;433
4;24;201
8;24;125
1;25;1080
2;25;593
4;25;286
8;25;169
1;26;1019
2;26;701
4;26;409
8;26;201
