1;1;1230
2;1;724
4;1;395
8;1;208
1;2;1230
2;2;613
4;2;337
8;2;200
1;3;1219
2;3;611
4;3;350
8;3;202
1;4;1217
2;4;612
4;4;339
8;4;198
1;5;561
2;5;618
4;5;340
8;5;204
1;6;1213
2;6;626
4;6;298
8;6;197
1;7;1047
2;7;610
4;7;326
8;7;283
1;8;1014
2;8;504
4;8;363
8;8;340
1;9;955
2;9;642
4;9;468
8;9;700
1;10;1486
2;10;765
4;10;888
8;10;764
1;11;926
2;11;521
4;11;2306
8;11;2646
1;12;739
2;12;752
4;12;845
8;12;767
1;13;1456
2;13;931
4;13;985
8;13;821
1;14;1559
2;14;842
4;14;860
8;14;826
1;15;770
2;15;923
4;15;1109
8;15;576
1;16;1650
2;16;1076
4;16;767
8;16;647
1;17;2132
2;17;1214
4;17;834
8;17;877
1;18;1212
2;18;1356
4;18;1380
8;18;1086
1;19;2656
2;19;1421
4;19;1732
8;19;1353
1;20;2220
2;20;1452
4;20;1955
8;20;1190
1;21;2125
2;21;2041
4;21;2241
8;21;2452
1;22;1460
2;22;1654
4;22;1021
8;22;725
