Threads;Hash_Bits;Running Time (ms)
1;1;325
2;1;151
4;1;76
8;1;46
1;2;156
2;2;114
4;2;81
8;2;44
1;3;197
2;3;194
4;3;95
8;3;60
1;4;158
2;4;116
4;4;46
8;4;41
1;5;183
2;5;103
4;5;81
8;5;55
1;6;193
2;6;139
4;6;68
8;6;41
1;7;189
2;7;102
4;7;84
8;7;45
1;8;200
2;8;107
4;8;75
8;8;62
1;9;175
2;9;106
4;9;113
8;9;64
1;10;206
2;10;174
4;10;89
8;10;51
1;11;198
2;11;112
4;11;81
8;11;69
1;12;199
2;12;138
4;12;99
8;12;94
1;13;267
2;13;225
4;13;111
8;13;73
1;14;268
2;14;150
4;14;118
8;14;102
1;15;341
2;15;285
4;15;141
8;15;105
1;16;396
2;16;326
4;16;215
8;16;128
1;17;499
2;17;447
4;17;285
8;17;137
1;18;607
2;18;549
4;18;298
8;18;116
1;19;785
2;19;561
4;19;288
8;19;78
1;20;814
2;20;532
4;20;203
8;20;99
1;21;873
2;21;414
4;21;189
8;21;90
1;22;821
2;22;399
4;22;211
8;22;106
1;23;916
2;23;422
4;23;202
8;23;91
1;24;865
2;24;451
4;24;226
8;24;112
1;25;998
2;25;593
4;25;277
8;25;216
1;26;1112
2;26;690
4;26;410
8;26;173
