Threads;Hash_Bits;Running Time (ms)
1;1;122
2;1;88
4;1;61
8;1;45
1;2;130
2;2;83
4;2;63
8;2;55
1;3;129
2;3;68
4;3;61
8;3;43
1;4;149
2;4;71
4;4;61
8;4;47
1;5;148
2;5;97
4;5;54
8;5;43
1;6;133
2;6;71
4;6;47
8;6;45
1;7;135
2;7;87
4;7;73
8;7;49
1;8;152
2;8;73
4;8;58
8;8;51
1;9;138
2;9;87
4;9;67
8;9;55
1;10;140
2;10;87
4;10;75
8;10;59
1;11;141
2;11;82
4;11;71
8;11;57
1;12;158
2;12;112
4;12;67
8;12;71
1;13;191
2;13;108
4;13;76
8;13;76
1;14;206
2;14;140
4;14;90
8;14;85
1;15;223
2;15;141
4;15;101
8;15;101
1;16;269
2;16;188
4;16;147
8;16;99
1;17;345
2;17;291
4;17;214
8;17;89
1;18;516
2;18;467
4;18;404
8;18;126
1;19;931
2;19;606
4;19;319
8;19;88
1;20;812
2;20;534
4;20;153
8;20;77
1;21;847
2;21;423
4;21;175
8;21;82
1;22;826
2;22;403
4;22;195
8;22;87
1;23;847
2;23;393
4;23;204
8;23;101
1;24;1001
2;24;467
4;24;197
8;24;110
1;25;986
2;25;488
4;25;288
8;25;174
1;26;1102
2;26;570
4;26;376
8;26;223
