Threads;Hash_Bits;Running Time (ms)
1;1;866
2;1;729
4;1;385
8;1;230
16;1;153
32;1;153
1;2;1245
2;2;617
4;2;365
8;2;218
16;2;149
32;2;160
1;3;1229
2;3;575
4;3;349
8;3;212
16;3;154
32;3;139
1;4;1229
2;4;630
4;4;348
8;4;205
16;4;140
32;4;165
1;5;562
2;5;609
4;5;324
8;5;206
16;5;179
32;5;211
1;6;1219
2;6;617
4;6;326
8;6;227
16;6;228
32;6;300
1;7;1219
2;7;614
4;7;374
8;7;295
16;7;292
32;7;365
1;8;1252
2;8;639
4;8;438
8;8;395
16;8;396
32;8;766
1;9;1023
2;9;665
4;9;482
8;9;479
16;9;459
32;9;535
1;10;980
2;10;715
4;10;702
8;10;650
16;10;546
32;10;470
1;11;1323
2;11;801
4;11;800
8;11;662
16;11;512
32;11;459
1;12;1386
2;12;915
4;12;995
8;12;722
16;12;592
32;12;557
1;13;1459
2;13;948
4;13;1043
8;13;868
16;13;618
32;13;629
1;14;1563
2;14;929
4;14;1082
8;14;857
16;14;904
32;14;492
1;15;1723
2;15;1020
4;15;1181
8;15;1037
16;15;923
32;15;476
1;16;1930
2;16;1143
4;16;1338
8;16;1107
16;16;959
32;16;868
1;17;2187
2;17;1092
4;17;1206
8;17;875
16;17;723
32;17;440
1;18;2125
2;18;1383
4;18;1091
8;18;1070
16;18;1082
32;18;491
1;19;2654
2;19;1447
4;19;1515
8;19;1392
16;19;1179
32;19;1870
1;20;2245
2;20;1480
4;20;2176
8;20;1447
16;20;1117
32;20;2187
1;21;2690
2;21;1612
4;21;1495
8;21;1181
16;21;2437
32;21;1159
1;22;2185
2;22;2025
4;22;1307
8;22;1075
16;22;1017
32;22;3078
