epoch_number,batch_size,framework,dataset,model,power,temp,mem_used,gpu_util,mem_util,total_time,precision,recall,accuracy,f1,energy
7,32,tensorflow,CIFAR100,resnet50,128.451,36.967,38907.0,79.436,5.644,29.0,0.256,0.244,0.244,0.231,3725.079
7,32,tensorflow,SVHN,resnet101,128.387,39.394,38907.0,83.88,4.449,77.0,0.753,0.74,0.76,0.744,9885.799
7,32,tensorflow,SVHN,resnet152,131.381,39.954,38907.0,84.681,3.927,110.0,0.639,0.61,0.646,0.617,14451.91
7,32,tensorflow,SVHN,resnet50,121.3,36.94,38907.0,78.714,5.405,42.0,0.863,0.855,0.868,0.858,5094.6
7,64,tensorflow,CIFAR10,resnet101,148.359,41.914,38907.0,86.483,5.828,29.5,0.492,0.493,0.494,0.488,4376.59
7,64,tensorflow,CIFAR10,resnet152,146.518,40.894,38907.0,87.483,5.094,43.0,0.462,0.458,0.459,0.456,6300.274
7,64,tensorflow,CIFAR10,resnet50,137.641,39.787,38907.0,82.312,6.575,16.5,0.524,0.519,0.52,0.515,2271.076
7,64,tensorflow,CIFAR100,resnet101,145.146,40.866,38907.0,85.981,5.73,29.5,0.2,0.186,0.188,0.174,4281.807
7,64,tensorflow,CIFAR100,resnet152,142.5,40.506,38907.0,86.922,5.001,43.5,0.169,0.156,0.158,0.142,6198.75
7,64,tensorflow,CIFAR100,resnet50,136.441,38.812,38907.0,84.594,6.594,16.0,0.216,0.205,0.207,0.198,2183.056
7,64,tensorflow,SVHN,resnet101,145.086,40.466,38907.0,86.659,5.739,44.0,0.784,0.766,0.782,0.772,6383.784
7,64,tensorflow,SVHN,resnet152,147.414,40.96,38907.0,87.403,5.153,63.0,0.716,0.7,0.722,0.703,9287.082
7,64,tensorflow,SVHN,resnet50,127.543,39.362,38907.0,76.025,5.922,25.5,0.819,0.818,0.829,0.816,3252.346
8,128,tensorflow,CIFAR10,resnet101,173.993,43.818,38907.0,85.25,5.727,22.5,0.486,0.484,0.484,0.482,3914.842
8,128,tensorflow,CIFAR10,resnet152,185.985,49.047,38907.0,90.109,5.75,32.0,0.464,0.46,0.461,0.458,5951.52
8,128,tensorflow,CIFAR10,resnet50,157.341,41.788,38907.0,86.144,6.614,11.5,0.488,0.484,0.484,0.481,1809.422
8,128,tensorflow,CIFAR100,resnet101,186.77,49.114,38907.0,90.682,5.955,22.0,0.18,0.174,0.176,0.164,4108.94
8,128,tensorflow,CIFAR100,resnet152,184.613,45.868,38907.0,90.106,5.778,32.0,0.164,0.158,0.16,0.147,5907.616
8,128,tensorflow,CIFAR100,resnet50,168.246,44.955,38907.0,88.591,6.773,11.0,0.193,0.186,0.187,0.18,1850.706
8,128,tensorflow,SVHN,resnet101,172.296,45.124,38907.0,86.073,5.976,33.5,0.763,0.746,0.764,0.75,5771.916
8,128,tensorflow,SVHN,resnet152,178.024,47.724,38907.0,86.53,5.723,48.0,0.714,0.685,0.708,0.694,8545.152
8,128,tensorflow,SVHN,resnet50,161.887,42.647,38907.0,87.118,6.735,17.0,0.792,0.774,0.795,0.78,2752.079
8,256,tensorflow,CIFAR10,resnet101,165.12,43.45,38907.0,80.724,8.9,14.5,0.448,0.446,0.445,0.444,2394.24
8,256,tensorflow,CIFAR10,resnet152,161.838,43.619,38907.0,81.452,8.0,21.0,0.43,0.43,0.43,0.428,3398.598
8,256,tensorflow,CIFAR10,resnet50,171.223,43.214,38907.0,89.214,10.714,7.0,0.437,0.436,0.436,0.432,1198.561
8,256,tensorflow,CIFAR100,resnet101,164.728,44.736,38907.0,80.426,8.867,14.5,0.154,0.154,0.156,0.146,2388.556
8,256,tensorflow,CIFAR100,resnet152,146.885,41.21,38907.0,75.398,7.476,22.0,0.14,0.138,0.141,0.128,3231.47
8,256,tensorflow,CIFAR100,resnet50,161.594,43.062,38907.0,85.875,10.0,8.0,0.153,0.152,0.154,0.145,1292.752
8,256,tensorflow,SVHN,resnet101,165.84,43.476,38907.0,82.143,8.81,21.0,0.699,0.682,0.707,0.688,3482.64
8,256,tensorflow,SVHN,resnet152,161.654,42.445,38907.0,80.465,8.134,30.5,0.647,0.633,0.659,0.637,4930.447
8,256,tensorflow,SVHN,resnet50,171.494,43.814,38907.0,86.936,10.318,10.5,0.758,0.745,0.764,0.749,1800.687
8,32,tensorflow,CIFAR10,resnet101,131.823,40.121,38907.0,84.727,4.736,52.5,0.454,0.45,0.451,0.446,6920.708
8,32,tensorflow,CIFAR10,resnet152,131.814,39.466,38907.0,84.723,3.933,75.0,0.42,0.415,0.416,0.401,9886.05
8,32,tensorflow,CIFAR10,resnet50,124.425,38.155,38907.0,77.793,5.379,29.0,0.52,0.504,0.504,0.498,3608.325
8,32,tensorflow,CIFAR100,resnet101,131.548,38.952,38907.0,84.466,4.429,52.5,0.224,0.2,0.203,0.188,6906.27
8,32,tensorflow,CIFAR100,resnet152,129.352,37.967,38907.0,84.724,3.933,75.0,0.174,0.169,0.174,0.152,9701.4
8,32,tensorflow,CIFAR100,resnet50,126.876,36.983,38907.0,78.724,5.431,29.0,0.265,0.25,0.251,0.24,3679.404
8,32,tensorflow,SVHN,resnet101,130.082,40.24,38907.0,83.448,4.416,77.5,0.72,0.686,0.716,0.694,10081.355
8,32,tensorflow,SVHN,resnet152,131.334,39.477,38907.0,84.784,3.922,110.0,0.687,0.662,0.691,0.67,14446.74
8,32,tensorflow,SVHN,resnet50,124.088,36.94,38907.0,78.226,5.44,42.5,0.865,0.866,0.873,0.864,5273.74
8,64,tensorflow,CIFAR10,resnet101,146.849,41.614,38907.0,86.605,5.78,30.0,0.503,0.504,0.504,0.497,4405.47
8,64,tensorflow,CIFAR10,resnet152,145.72,40.86,38907.0,87.372,5.07,43.0,0.472,0.461,0.462,0.462,6265.96
8,64,tensorflow,CIFAR10,resnet50,136.082,39.812,38907.0,81.125,6.688,16.0,0.508,0.502,0.501,0.498,2177.312
8,64,tensorflow,CIFAR100,resnet101,145.127,41.014,38907.0,85.27,5.624,30.5,0.207,0.186,0.188,0.18,4426.374
8,64,tensorflow,CIFAR100,resnet152,144.56,40.48,38907.0,86.648,5.094,43.0,0.18,0.168,0.17,0.158,6216.08
8,64,tensorflow,CIFAR100,resnet50,136.743,38.906,38907.0,83.688,6.688,16.0,0.234,0.22,0.221,0.213,2187.888
8,64,tensorflow,SVHN,resnet101,145.287,40.825,38907.0,87.08,5.816,43.5,0.798,0.782,0.796,0.787,6319.985
8,64,tensorflow,SVHN,resnet152,147.461,40.975,38907.0,87.596,5.144,62.5,0.729,0.71,0.731,0.716,9216.312
8,64,tensorflow,SVHN,resnet50,128.122,39.402,38907.0,75.393,5.862,25.5,0.834,0.826,0.842,0.829,3267.111
9,128,tensorflow,CIFAR10,resnet101,171.454,43.845,38907.0,84.816,5.614,23.0,0.484,0.483,0.484,0.48,3943.442
9,128,tensorflow,CIFAR10,resnet152,186.626,48.93,38907.0,89.485,5.586,32.5,0.468,0.468,0.467,0.464,6065.345
9,128,tensorflow,CIFAR10,resnet50,152.95,41.867,38907.0,83.14,6.705,11.5,0.494,0.492,0.492,0.491,1758.925
9,128,tensorflow,CIFAR100,resnet101,187.462,49.333,38907.0,90.801,6.016,22.5,0.192,0.176,0.178,0.169,4217.895
9,128,tensorflow,CIFAR100,resnet152,179.5,45.875,38907.0,90.922,5.812,32.0,0.178,0.172,0.174,0.16,5744.0
9,128,tensorflow,CIFAR100,resnet50,160.113,44.78,38907.0,87.932,6.564,11.5,0.2,0.192,0.194,0.186,1841.3
9,128,tensorflow,SVHN,resnet101,173.349,45.219,38907.0,85.627,5.962,33.0,0.771,0.758,0.777,0.762,5720.517
9,128,tensorflow,SVHN,resnet152,176.495,47.599,38907.0,86.521,5.726,48.0,0.72,0.703,0.724,0.709,8471.76
9,128,tensorflow,SVHN,resnet50,155.386,42.656,38907.0,86.125,6.781,16.0,0.805,0.797,0.812,0.8,2486.176
9,256,tensorflow,CIFAR10,resnet101,161.746,43.657,38907.0,81.019,8.8,14.5,0.451,0.45,0.45,0.448,2345.317
9,256,tensorflow,CIFAR10,resnet152,164.093,43.543,38907.0,79.713,7.93,20.5,0.436,0.428,0.429,0.429,3363.906
9,256,tensorflow,CIFAR10,resnet50,166.52,43.205,38907.0,88.339,10.455,7.5,0.428,0.433,0.433,0.428,1248.9
9,256,tensorflow,CIFAR100,resnet101,167.0,44.893,38907.0,80.857,9.036,14.0,0.16,0.158,0.16,0.148,2338.0
9,256,tensorflow,CIFAR100,resnet152,150.257,41.262,38907.0,75.45,7.65,22.0,0.147,0.145,0.148,0.135,3305.654
9,256,tensorflow,CIFAR100,resnet50,167.038,43.357,38907.0,86.5,10.357,7.0,0.161,0.158,0.16,0.152,1169.266
9,256,tensorflow,SVHN,resnet101,160.057,43.452,38907.0,78.619,8.571,21.0,0.706,0.692,0.714,0.696,3361.197
9,256,tensorflow,SVHN,resnet152,165.032,42.45,38907.0,81.05,8.017,30.5,0.679,0.645,0.676,0.657,5033.476
9,256,tensorflow,SVHN,resnet50,178.452,44.2,38907.0,87.8,10.5,10.5,0.761,0.752,0.772,0.754,1873.746
9,32,tensorflow,CIFAR10,resnet101,130.897,40.339,38907.0,84.604,4.726,52.5,0.482,0.466,0.466,0.462,6872.092
9,32,tensorflow,CIFAR10,resnet152,130.65,39.302,38907.0,84.779,3.907,75.5,0.465,0.453,0.453,0.45,9864.075
9,32,tensorflow,CIFAR10,resnet50,126.677,38.087,38907.0,77.817,5.268,29.5,0.538,0.536,0.535,0.53,3736.972
9,32,tensorflow,CIFAR100,resnet101,131.427,38.952,38907.0,84.751,4.559,52.5,0.237,0.222,0.225,0.211,6899.918
9,32,tensorflow,CIFAR100,resnet152,127.015,37.92,38907.0,84.239,3.914,75.5,0.183,0.172,0.173,0.158,9589.632
9,32,tensorflow,CIFAR100,resnet50,125.972,36.966,38907.0,79.31,5.603,29.0,0.275,0.261,0.262,0.253,3653.188
9,32,tensorflow,SVHN,resnet101,129.665,40.173,38907.0,83.618,4.429,77.5,0.78,0.762,0.781,0.766,10049.037
