Threads;Hash_Bits;Running Time (ms)
1;1;1448
2;1;2559
4;1;1708
8;1;2353
16;1;1426
32;1;1778
1;2;715
2;2;1975
4;2;1333
8;2;2040
16;2;1830
32;2;1545
1;3;773
2;3;1982
4;3;1665
8;3;1634
16;3;1566
32;3;1504
1;4;854
2;4;1409
4;4;1490
8;4;1412
16;4;1170
32;4;1211
1;5;1142
2;5;1282
4;5;1053
8;5;983
16;5;923
32;5;1000
1;6;1181
2;6;1672
4;6;1237
8;6;1069
16;6;793
32;6;644
1;7;808
2;7;2720
4;7;1912
8;7;693
16;7;557
32;7;404
1;8;827
2;8;1211
4;8;759
8;8;512
16;8;374
32;8;297
1;9;1509
2;9;1174
4;9;722
8;9;469
16;9;332
32;9;263
1;10;905
2;10;1172
4;10;733
8;10;504
16;10;376
32;10;271
1;11;1582
2;11;1241
4;11;776
8;11;596
16;11;461
32;11;373
1;12;1679
2;12;1331
4;12;891
8;12;740
16;12;598
32;12;472
1;13;1786
2;13;1432
4;13;1007
8;13;887
16;13;714
32;13;581
1;14;1949
2;14;1574
4;14;953
8;14;867
16;14;856
32;14;678
1;15;2207
2;15;1719
4;15;1089
8;15;893
16;15;986
32;15;721
1;16;2535
2;16;1642
4;16;1113
8;16;1006
16;16;995
32;16;745
1;17;2373
2;17;1976
4;17;1141
8;17;1028
16;17;810
32;17;705
1;18;3285
2;18;1945
4;18;1327
8;18;1049
16;18;913
32;18;650
1;19;3599
2;19;2042
4;19;1063
8;19;966
16;19;907
32;19;729
1;20;2736
2;20;2003
4;20;1061
8;20;965
16;20;926
32;20;979
1;21;3944
2;21;2271
4;21;939
8;21;822
16;21;3413
32;21;610
1;22;4431
2;22;2906
4;22;1602
8;22;1027
16;22;879
32;22;439
