Threads;Hash_Bits;Running Time (ms)
1;1;191
2;1;329
4;1;552
8;1;640
1;2;314
2;2;344
4;2;423
8;2;432
1;3;308
2;3;299
4;3;284
8;3;291
1;4;299
2;4;242
4;4;243
8;4;182
1;5;294
2;5;246
4;5;171
8;5;137
1;6;269
2;6;228
4;6;157
8;6;111
1;7;220
2;7;221
4;7;142
8;7;89
1;8;261
2;8;214
4;8;122
8;8;89
1;9;271
2;9;199
4;9;139
8;9;75
1;10;248
2;10;225
4;10;132
8;10;80
1;11;264
2;11;248
4;11;133
8;11;75
1;12;280
2;12;234
4;12;131
8;12;88
1;13;340
2;13;231
4;13;143
8;13;89
1;14;336
2;14;254
4;14;147
8;14;94
1;15;439
2;15;361
4;15;162
8;15;93
1;16;468
2;16;315
4;16;202
8;16;130
1;17;780
2;17;524
4;17;274
8;17;152
1;18;1033
2;18;646
4;18;319
8;18;236
1;19;1283
2;19;708
4;19;431
8;19;259
1;20;1215
2;20;846
4;20;497
8;20;300
1;21;1141
2;21;829
4;21;460
8;21;292
1;22;1205
2;22;784
4;22;437
8;22;276
1;23;1073
2;23;730
4;23;415
8;23;263
1;24;1267
2;24;812
4;24;417
8;24;254
1;25;1171
2;25;734
4;25;429
8;25;252
1;26;1252
2;26;810
4;26;466
8;26;299
