Threads;Hash_Bits;Running Time (ms)
1;1;193
2;1;335
4;1;527
8;1;616
1;2;327
2;2;341
4;2;439
8;2;412
1;3;285
2;3;282
4;3;270
8;3;284
1;4;294
2;4;250
4;4;220
8;4;172
1;5;274
2;5;236
4;5;172
8;5;131
1;6;259
2;6;222
4;6;147
8;6;102
1;7;253
2;7;215
4;7;144
8;7;88
1;8;248
2;8;208
4;8;131
8;8;79
1;9;245
2;9;211
4;9;123
8;9;72
1;10;263
2;10;206
4;10;124
8;10;71
1;11;271
2;11;230
4;11;129
8;11;71
1;12;290
2;12;213
4;12;126
8;12;83
1;13;319
2;13;221
4;13;143
8;13;80
1;14;327
2;14;254
4;14;149
8;14;93
1;15;406
2;15;270
4;15;163
8;15;97
1;16;479
2;16;343
4;16;171
8;16;120
1;17;692
2;17;510
4;17;234
8;17;145
1;18;950
2;18;571
4;18;338
8;18;214
1;19;1196
2;19;823
4;19;447
8;19;266
1;20;1234
2;20;803
4;20;464
8;20;304
1;21;1192
2;21;732
4;21;477
8;21;327
1;22;1048
2;22;748
4;22;453
8;22;273
1;23;1084
2;23;761
4;23;438
8;23;275
1;24;1096
2;24;742
4;24;429
8;24;248
1;25;1201
2;25;742
4;25;427
8;25;272
1;26;1230
2;26;786
4;26;443
8;26;267
