1;1;1202
2;1;2640
4;1;1604
8;1;2123
1;2;782
2;2;2355
4;2;1666
8;2;1947
1;3;1286
2;3;1943
4;3;1672
8;3;1433
1;4;1389
2;4;1771
4;4;1437
8;4;1248
1;5;1446
2;5;1587
4;5;1297
8;5;1037
1;6;993
2;6;1418
4;6;1030
8;6;712
1;7;1164
2;7;1246
4;7;800
8;7;598
1;8;1492
2;8;1206
4;8;760
8;8;511
1;9;1325
2;9;1051
4;9;690
8;9;448
1;10;1187
2;10;1078
4;10;699
8;10;469
1;11;1599
2;11;1232
4;11;788
8;11;580
1;12;1676
2;12;1269
4;12;886
8;12;744
1;13;1772
2;13;1456
4;13;975
8;13;862
1;14;1625
2;14;1569
4;14;1054
8;14;981
1;15;1882
2;15;1723
4;15;1087
8;15;983
1;16;2070
2;16;1381
4;16;1078
8;16;712
1;17;2695
2;17;2013
4;17;1350
8;17;1018
1;18;3289
2;18;1918
4;18;1279
8;18;981
1;19;3495
2;19;2068
4;19;976
8;19;1017
1;20;3792
2;20;2192
4;20;1350
8;20;1010
1;21;3943
2;21;2339
4;21;1430
8;21;1031
1;22;3612
2;22;2663
4;22;1304
8;22;1031
