Threads;Hash_Bits;Running Time (ms)
1;1;1248
2;1;2630
4;1;1758
8;1;2152
16;1;1484
32;1;1272
1;2;1446
2;2;2370
4;2;1632
8;2;2015
16;2;1575
32;2;1749
1;3;778
2;3;2013
4;3;1690
8;3;1671
16;3;1530
32;3;1132
1;4;1442
2;4;1735
4;4;1503
8;4;1275
16;4;1050
32;4;669
1;5;629
2;5;1131
4;5;960
8;5;902
16;5;799
32;5;510
1;6;1112
2;6;1307
4;6;1022
8;6;835
16;6;676
32;6;596
1;7;1181
2;7;1107
4;7;740
8;7;587
16;7;512
32;7;367
1;8;1199
2;8;1105
4;8;747
8;8;474
16;8;368
32;8;285
1;9;1512
2;9;1143
4;9;724
8;9;470
16;9;339
32;9;264
1;10;1534
2;10;1173
4;10;733
8;10;431
16;10;353
32;10;308
1;11;685
2;11;632
4;11;469
8;11;525
16;11;434
32;11;369
1;12;1698
2;12;1021
4;12;809
8;12;635
16;12;542
32;12;498
1;13;1735
2;13;1319
4;13;985
8;13;779
16;13;804
32;13;571
1;14;1960
2;14;1556
4;14;1000
8;14;985
16;14;659
32;14;593
1;15;1324
2;15;1735
4;15;1094
8;15;982
16;15;909
32;15;791
1;16;2517
2;16;1864
4;16;1127
8;16;1007
16;16;973
32;16;884
1;17;1444
2;17;1585
4;17;1214
8;17;1024
16;17;1028
32;17;847
1;18;3171
2;18;1006
4;18;1321
8;18;1027
16;18;899
32;18;657
1;19;2957
2;19;2005
4;19;1336
8;19;1027
16;19;909
32;19;602
1;20;3770
2;20;2109
4;20;1268
8;20;1018
16;20;870
32;20;670
1;21;3196
2;21;2147
4;21;1608
8;21;1028
16;21;889
32;21;571
1;22;4425
2;22;2322
4;22;1437
8;22;1035
16;22;949
32;22;403
