Threads;Hash_Bits;Running Time (ms)
1;1;165
2;1;272
4;1;296
8;1;410
1;2;163
2;2;245
4;2;258
8;2;292
1;3;169
2;3;212
4;3;197
8;3;202
1;4;163
2;4;174
4;4;153
8;4;148
1;5;175
2;5;166
4;5;129
8;5;119
1;6;169
2;6;153
4;6;110
8;6;93
1;7;172
2;7;145
4;7;96
8;7;78
1;8;174
2;8;139
4;8;86
8;8;74
1;9;198
2;9;137
4;9;94
8;9;72
1;10;193
2;10;138
4;10;91
8;10;76
1;11;191
2;11;136
4;11;92
8;11;70
1;12;204
2;12;139
4;12;100
8;12;79
1;13;262
2;13;203
4;13;129
8;13;86
1;14;265
2;14;243
4;14;134
8;14;91
1;15;323
2;15;199
4;15;142
8;15;107
1;16;522
2;16;325
4;16;176
8;16;130
1;17;736
2;17;445
4;17;239
8;17;146
1;18;920
2;18;588
4;18;324
8;18;183
1;19;1146
2;19;746
4;19;411
8;19;251
1;20;1167
2;20;817
4;20;437
8;20;273
1;21;1216
2;21;730
4;21;421
8;21;280
1;22;1130
2;22;779
4;22;431
8;22;253
1;23;1088
2;23;752
4;23;421
8;23;267
1;24;1090
2;24;731
4;24;443
8;24;267
1;25;1155
2;25;759
4;25;434
8;25;276
1;26;1251
2;26;813
4;26;440
8;26;262
