Threads;Hash_Bits;Running Time (ms)
1;1;176
2;1;331
4;1;488
8;1;621
1;2;318
2;2;335
4;2;430
8;2;434
1;3;309
2;3;295
4;3;308
8;3;272
1;4;296
2;4;250
4;4;199
8;4;163
1;5;278
2;5;246
4;5;184
8;5;146
1;6;279
2;6;212
4;6;157
8;6;103
1;7;242
2;7;234
4;7;143
8;7;99
1;8;255
2;8;218
4;8;130
8;8;83
1;9;265
2;9;234
4;9;125
8;9;73
1;10;249
2;10;227
4;10;137
8;10;81
1;11;278
2;11;224
4;11;123
8;11;78
1;12;297
2;12;225
4;12;136
8;12;94
1;13;364
2;13;224
4;13;156
8;13;111
1;14;428
2;14;300
4;14;140
8;14;120
1;15;485
2;15;258
4;15;200
8;15;110
1;16;633
2;16;382
4;16;195
8;16;142
1;17;848
2;17;533
4;17;260
8;17;142
1;18;1026
2;18;633
4;18;347
8;18;252
1;19;1219
2;19;824
4;19;447
8;19;251
1;20;1220
2;20;811
4;20;499
8;20;290
1;21;1222
2;21;761
4;21;466
8;21;279
1;22;1104
2;22;750
4;22;422
8;22;267
1;23;1101
2;23;706
4;23;443
8;23;281
1;24;1100
2;24;745
4;24;422
8;24;278
1;25;1113
2;25;785
4;25;418
8;25;270
1;26;1309
2;26;839
4;26;457
8;26;289
