Threads;Hash_Bits;Running Time (ms)
1;1;238
2;1;313
4;1;463
8;1;671
1;2;309
2;2;311
4;2;416
8;2;428
1;3;315
2;3;299
4;3;282
8;3;279
1;4;292
2;4;257
4;4;201
8;4;181
1;5;275
2;5;243
4;5;174
8;5;133
1;6;261
2;6;206
4;6;156
8;6;99
1;7;264
2;7;209
4;7;146
8;7;88
1;8;261
2;8;221
4;8;125
8;8;83
1;9;244
2;9;215
4;9;116
8;9;74
1;10;289
2;10;188
4;10;128
8;10;75
1;11;289
2;11;216
4;11;138
8;11;76
1;12;291
2;12;225
4;12;130
8;12;77
1;13;319
2;13;230
4;13;142
8;13;83
1;14;343
2;14;251
4;14;131
8;14;95
1;15;398
2;15;253
4;15;142
8;15;107
1;16;525
2;16;334
4;16;171
8;16;113
1;17;707
2;17;482
4;17;236
8;17;137
1;18;1050
2;18;584
4;18;352
8;18;215
1;19;1233
2;19;739
4;19;428
8;19;255
1;20;1283
2;20;787
4;20;475
8;20;295
1;21;1182
2;21;764
4;21;439
8;21;293
1;22;1142
2;22;781
4;22;435
8;22;269
1;23;1152
2;23;779
4;23;439
8;23;282
1;24;1068
2;24;761
4;24;399
8;24;250
1;25;1064
2;25;691
4;25;433
8;25;249
1;26;1219
2;26;821
4;26;449
8;26;286
