Threads;Hash_Bits;Running Time (ms)
1;1;1442
2;1;1685
4;1;1402
8;1;1701
16;1;984
32;1;1272
1;2;749
2;2;1843
4;2;1315
8;2;1266
16;2;1309
32;2;1589
1;3;868
2;3;1975
4;3;1313
8;3;1078
16;3;1273
32;3;836
1;4;943
2;4;1564
4;4;1351
8;4;1108
16;4;987
32;4;905
1;5;1283
2;5;1377
4;5;990
8;5;945
16;5;829
32;5;722
1;6;1461
2;6;1245
4;6;895
8;6;763
16;6;637
32;6;377
1;7;842
2;7;1040
4;7;737
8;7;465
16;7;505
32;7;421
1;8;1488
2;8;1199
4;8;752
8;8;504
16;8;364
32;8;294
1;9;1507
2;9;1137
4;9;718
8;9;458
16;9;326
32;9;263
1;10;1527
2;10;1166
4;10;725
8;10;497
16;10;366
32;10;257
1;11;1586
2;11;1230
4;11;779
8;11;569
16;11;453
32;11;339
1;12;1671
2;12;1309
4;12;881
8;12;725
16;12;594
32;12;434
1;13;1563
2;13;1442
4;13;987
8;13;868
16;13;770
32;13;624
1;14;857
2;14;1417
4;14;983
8;14;946
16;14;816
32;14;731
1;15;1963
2;15;1694
4;15;1058
8;15;769
16;15;818
32;15;835
1;16;2133
2;16;1849
4;16;1102
8;16;981
16;16;967
32;16;853
1;17;2849
2;17;1985
4;17;1176
8;17;890
16;17;875
32;17;683
1;18;3208
2;18;2046
4;18;1272
8;18;986
16;18;869
32;18;604
1;19;3571
2;19;2077
4;19;1293
8;19;983
16;19;817
32;19;561
1;20;3762
2;20;2080
4;20;1363
8;20;969
16;20;836
32;20;476
1;21;3958
2;21;2350
4;21;1355
8;21;998
16;21;859
32;21;420
1;22;3637
2;22;2733
4;22;1148
8;22;1050
16;22;914
32;22;772
