1;1;1393
2;1;2599
4;1;1667
8;1;1515
1;2;1369
2;2;2340
4;2;1682
8;2;1737
1;3;1444
2;3;1910
4;3;1638
8;3;1472
1;4;1439
2;4;1691
4;4;1103
8;4;1383
1;5;1240
2;5;1551
4;5;1285
8;5;1115
1;6;1215
2;6;1369
4;6;1035
8;6;852
1;7;1474
2;7;1245
4;7;876
8;7;643
1;8;908
2;8;1185
4;8;716
8;8;394
1;9;1519
2;9;1138
4;9;695
8;9;445
1;10;1287
2;10;1078
4;10;715
8;10;488
1;11;1226
2;11;1147
4;11;784
8;11;590
1;12;1680
2;12;1118
4;12;707
8;12;742
1;13;1584
2;13;1425
4;13;1003
8;13;884
1;14;1947
2;14;1585
4;14;1072
8;14;991
1;15;2216
2;15;1729
4;15;1074
8;15;992
1;16;2080
2;16;1844
4;16;1093
8;16;1014
1;17;2633
2;17;1735
4;17;1138
8;17;1017
1;18;2969
2;18;1996
4;18;1284
8;18;985
1;19;3586
2;19;2008
4;19;1159
8;19;1013
1;20;3781
2;20;1895
4;20;1386
8;20;980
1;21;2709
2;21;2119
4;21;1066
8;21;1019
1;22;4418
2;22;2617
4;22;1085
8;22;995
