Threads;Hash_Bits;Running Time (ms)
1;1;1440
2;1;2643
4;1;1524
8;1;2481
16;1;1681
32;1;2390
1;2;1441
2;2;2352
4;2;1736
8;2;1821
16;2;1472
32;2;1790
1;3;891
2;3;1930
4;3;1661
8;3;1658
16;3;1482
32;3;1521
1;4;1289
2;4;1718
4;4;1501
8;4;1337
16;4;997
32;4;894
1;5;1442
2;5;1541
4;5;1241
8;5;1105
16;5;932
32;5;832
1;6;1037
2;6;1411
4;6;1087
8;6;865
16;6;633
32;6;601
1;7;1332
2;7;1256
4;7;869
8;7;647
16;7;506
32;7;362
1;8;1489
2;8;1195
4;8;752
8;8;499
16;8;362
32;8;294
1;9;1276
2;9;1175
4;9;717
8;9;419
16;9;329
32;9;259
1;10;1527
2;10;1144
4;10;711
8;10;496
16;10;334
32;10;298
1;11;1603
2;11;1220
4;11;779
8;11;574
16;11;443
32;11;364
1;12;1097
2;12;1272
4;12;877
8;12;719
16;12;526
32;12;485
1;13;1771
2;13;1441
4;13;979
8;13;864
16;13;742
32;13;463
1;14;855
2;14;1563
4;14;1025
8;14;899
16;14;820
32;14;745
1;15;2213
2;15;1695
4;15;1060
8;15;956
16;15;940
32;15;684
1;16;2506
2;16;1796
4;16;1129
8;16;890
16;16;982
32;16;709
1;17;2436
2;17;1990
4;17;1325
8;17;996
16;17;941
32;17;759
1;18;2762
2;18;1791
4;18;1259
8;18;930
16;18;887
32;18;613
1;19;3575
2;19;2045
4;19;1298
8;19;961
16;19;670
32;19;602
1;20;3762
2;20;2190
4;20;1124
8;20;976
16;20;852
32;20;477
1;21;3938
2;21;2259
4;21;1445
8;21;983
16;21;851
32;21;448
1;22;4439
2;22;2199
4;22;1364
8;22;996
16;22;880
32;22;623
