Threads;Hash_Bits;Running Time (ms)
1;1;198
2;1;369
4;1;499
8;1;612
1;2;323
2;2;390
4;2;409
8;2;438
1;3;307
2;3;283
4;3;287
8;3;298
1;4;309
2;4;255
4;4;226
8;4;182
1;5;282
2;5;240
4;5;167
8;5;142
1;6;276
2;6;222
4;6;165
8;6;119
1;7;274
2;7;222
4;7;143
8;7;100
1;8;257
2;8;218
4;8;134
8;8;82
1;9;286
2;9;208
4;9;122
8;9;81
1;10;281
2;10;233
4;10;123
8;10;69
1;11;271
2;11;211
4;11;121
8;11;73
1;12;301
2;12;229
4;12;137
8;12;91
1;13;329
2;13;224
4;13;146
8;13;96
1;14;378
2;14;205
4;14;141
8;14;98
1;15;405
2;15;280
4;15;154
8;15;112
1;16;524
2;16;316
4;16;186
8;16;118
1;17;772
2;17;535
4;17;252
8;17;153
1;18;998
2;18;591
4;18;346
8;18;187
1;19;1297
2;19;759
4;19;527
8;19;301
1;20;1390
2;20;793
4;20;485
8;20;301
1;21;1224
2;21;730
4;21;447
8;21;323
1;22;1093
2;22;753
4;22;437
8;22;270
1;23;1087
2;23;712
4;23;419
8;23;294
1;24;1118
2;24;739
4;24;440
8;24;289
1;25;1171
2;25;753
4;25;442
8;25;285
1;26;1197
2;26;802
4;26;463
8;26;289
