Threads;Hash_Bits;Running Time (ms)
1;1;1442
2;1;2652
4;1;1425
8;1;1808
16;1;1763
32;1;1271
1;2;1439
2;2;1874
4;2;1252
8;2;1536
16;2;1615
32;2;1084
1;3;1234
2;3;1643
4;3;1607
8;3;1351
16;3;1203
32;3;1136
1;4;1253
2;4;1497
4;4;1193
8;4;1193
16;4;1038
32;4;925
1;5;1446
2;5;1380
4;5;1068
8;5;1027
16;5;578
32;5;517
1;6;1393
2;6;1197
4;6;1025
8;6;740
16;6;646
32;6;524
1;7;1030
2;7;1291
4;7;848
8;7;399
16;7;435
32;7;366
1;8;1502
2;8;1199
4;8;672
8;8;391
16;8;324
32;8;264
1;9;1272
2;9;836
4;9;621
8;9;423
16;9;299
32;9;231
1;10;896
2;10;926
4;10;628
8;10;455
16;10;334
32;10;255
1;11;1591
2;11;1098
4;11;652
8;11;512
16;11;418
32;11;321
1;12;717
2;12;1320
4;12;741
8;12;618
16;12;411
32;12;386
1;13;1782
2;13;1166
4;13;907
8;13;751
16;13;705
32;13;544
1;14;1956
2;14;1307
4;14;950
8;14;845
16;14;818
32;14;657
1;15;2206
2;15;1663
4;15;981
8;15;850
16;15;723
32;15;694
1;16;2515
2;16;1598
4;16;972
8;16;830
16;16;839
32;16;707
1;17;2863
2;17;1710
4;17;952
8;17;861
16;17;828
32;17;662
1;18;2722
2;18;1657
4;18;842
8;18;796
16;18;711
32;18;586
1;19;3573
2;19;2081
4;19;1135
8;19;907
16;19;688
32;19;493
1;20;3656
2;20;2096
4;20;1257
8;20;863
16;20;698
32;20;503
1;21;3860
2;21;2032
4;21;1054
8;21;940
16;21;726
32;21;536
1;22;4374
2;22;2372
4;22;1061
8;22;918
16;22;778
32;22;542
