bits;1;2;4;8;16;32
1;9.52497;18.667;34.905;54.9187;54.1047;55.4371;
2;9.57613;18.6824;35.1728;61.5528;56.5851;54.395;
3;9.45838;18.7153;34.9689;61.1549;57.7218;52.2146;
4;9.50228;18.5319;35.0891;40.3664;54.2089;60.6806;
5;9.41236;18.4868;35.0386;40.0891;56.9787;58.5503;
6;9.07761;18.6255;34.4194;40.831;57.6147;61.7896;
7;9.56472;18.6298;31.0011;35.3378;58.8518;57.2123;
8;9.55287;18.373;35.7684;33.5213;57.5633;55.6885;
9;9.53141;18.605;35.5772;60.8139;59.2533;53.1237;
10;9.45894;18.5877;33.9372;55.3241;47.8086;53.1231;
11;9.56493;18.0117;34.4145;32.6779;38.3903;42.2804;
12;9.14454;17.6993;34.3123;38.6446;52.1518;40.1004;
13;9.43756;13.6777;32.2742;32.5444;35.8812;31.4709;
14;9.37371;17.9229;21.5916;36.6705;29.522;16.9805;
15;9.29577;16.3971;24.9077;24.4188;16.598;8.35286;
16;8.85477;11.7452;18.2913;14.2008;8.28476;4.36361;
17;8.55719;12.2054;12.2251;7.95566;4.29932;2.22466;
18;7.5665;9.22956;7.25793;4.19391;2.22841;1.11259;
