bits;1;2;4;8;16;32
1;9.36724;18.4693;34.8068;40.8891;42.5408;56.0639;
2;9.57432;17.7525;34.4412;60.9714;57.885;54.8415;
3;9.53336;18.6424;33.9856;60.8013;47.5028;49.8706;
4;9.6942;18.7396;33.2809;58.3305;54.4775;56.2;
5;9.34766;17.8259;33.4519;49.0286;49.2509;48.1718;
6;8.84788;16.6685;32.0777;40.811;42.4115;53.7723;
7;8.78742;18.6362;30.9572;39.6544;57.626;56.6047;
8;9.08775;18.3463;35.3832;45.7649;55.4705;55.0923;
9;9.67005;18.3349;33.8993;48.5322;54.3716;54.4503;
10;9.66466;19.0011;34.8416;47.168;55.1668;49.2284;
11;9.67054;18.5729;28.6442;39.7282;52.974;50.0336;
12;9.708;18.5921;34.0533;32.2252;41.2972;44.2168;
13;9.67872;17.1355;30.2576;39.2249;37.5649;29.1813;
14;9.42733;17.8396;29.0373;35.3556;27.6747;16.8544;
15;9.08529;17.1497;24.2961;18.7185;15.558;9.11494;
16;8.9123;13.7387;18.1799;14.2755;8.09273;4.55711;
17;8.49258;12.8569;12.3586;8.25099;4.40997;2.21633;
18;7.10953;9.61969;7.37439;4.21631;2.22298;1.15476;
