bits;1;2;4;8;16;32
1;9.46932;19.2135;32.6538;34.1166;56.6571;60.5957;
2;9.83665;19.3325;36.0689;63.0348;58.6597;60.3645;
3;9.60413;19.4624;35.9163;34.4157;59.4351;47.7039;
4;9.4683;18.3168;35.0533;37.5176;57.8552;60.06;
5;9.78645;19.4435;36.5914;63.3855;42.056;53.3302;
6;9.82122;17.8976;33.8622;62.5291;58.6232;52.4762;
7;9.3873;19.0236;35.4895;62.9544;54.8485;58.2372;
8;9.89714;18.7567;36.5959;61.5648;57.9669;59.9936;
9;10.0009;19.4399;35.614;59.2207;57.416;56.0877;
10;9.71398;19.5567;35.8946;62.4328;57.8879;53.2114;
11;9.73071;19.1158;36.0443;34.5838;51.8924;50.6758;
12;9.67875;17.9829;26.5701;39.6298;49.0055;44.6445;
13;9.36311;18.6467;31.2071;30.6165;37.3658;30.8883;
14;9.58923;17.9669;29.7427;32.8907;30.1327;17.9021;
15;9.585;17.0081;25.2714;24.9167;16.2771;9.39631;
16;9.22397;15.3556;16.6442;12.2597;8.30814;4.31667;
17;8.55497;12.7134;12.2986;8.17487;4.51532;2.27135;
18;7.6339;9.50778;7.45647;4.29832;2.23707;1.16383;
