bits;1;2;4;8;16;32
1;9.55547;15.2306;19.1247;34.1713;39.03;47.7181;
2;9.3189;18.3094;34.0846;38.4074;40.6394;48.8582;
3;9.26108;17.7856;30.0332;40.3785;41.3472;47.2197;
4;9.23058;18.344;34.5386;35.5024;56.3132;48.7654;
5;9.17632;18.6455;34.9911;36.9902;39.6809;48.4026;
6;9.35755;15.7632;34.8023;40.4605;38.9581;46.1584;
7;9.17404;17.8987;34.1845;42.446;41.9674;48.2586;
8;9.4816;18.3968;34.8741;33.8063;42.985;47.7902;
9;9.17638;17.8541;33.6749;40.1561;47.1525;46.5558;
10;9.6275;18.9983;35.0643;44.6981;42.5468;49.4856;
11;9.55608;18.9949;34.6508;33.3526;42.4133;47.7888;
12;9.63465;17.2759;33.1617;32.9654;45.4188;36.0014;
13;9.39723;18.5061;32.4427;33.8766;41.6741;26.2945;
14;9.44693;17.9561;29.8605;34.2534;24.9789;17.4306;
15;9.18312;14.6312;24.4571;24.8641;16.7321;9.11159;
16;9.02209;13.6939;18.3257;14.0058;8.46951;4.13166;
17;8.50857;12.4664;11.4544;7.7609;4.35086;2.16311;
18;7.32706;9.18672;7.32371;4.25006;2.22477;1.09965;
