epoch;precision;recall;accuracy;f1;timestamp
0;0.09005211706156288;0.0813860491605654;0.0812;0.057995551060243074;2023-05-08 03:03:41
1;0.13840516316467344;0.12820744050546476;0.1294;0.10303530217369138;2023-05-08 03:04:00
2;0.16977212463495409;0.1456934097172228;0.1472;0.12534711218330483;2023-05-08 03:04:17
3;0.20181232665895346;0.1604548028132649;0.1628;0.14723402890362144;2023-05-08 03:04:33
4;0.21938754953894202;0.17519598899358013;0.1766;0.1642087311235515;2023-05-08 03:04:49
5;0.21650445586543154;0.1781584359606655;0.1798;0.17271032903683106;2023-05-08 03:05:06
6;0.21442864423196617;0.17894922299330818;0.181;0.17418630590184375;2023-05-08 03:05:24
7;0.2240615598991985;0.18478796100696193;0.1864;0.18313355962880837;2023-05-08 03:05:41
8;0.22202287330073694;0.19055139070750063;0.1928;0.18430444214990946;2023-05-08 03:06:01
9;0.21700077626472133;0.18968425933066618;0.1916;0.18734417858642213;2023-05-08 03:06:19
