epoch;precision;recall;f1;timestamp
0;0.3501485658076258;0.33195515793944624;0.3314;0.30798949167878253;2023-05-07 04:02:14
1;0.38710934511862444;0.3816583854087587;0.3812;0.36542775443693926;2023-05-07 04:03:46
2;0.4174451262788903;0.4117481479278407;0.4118;0.40700545282466366;2023-05-07 04:05:07
3;0.4398011269122456;0.43370032428456773;0.4344;0.42735186983161116;2023-05-07 04:06:43
4;0.45480537166136015;0.4353614612136023;0.4354;0.4316881015581395;2023-05-07 04:08:09
5;0.4593051988038761;0.44334710134280775;0.4438;0.44149326613815826;2023-05-07 04:09:46
6;0.465301936241298;0.4479288293205658;0.4476;0.44342674134004306;2023-05-07 04:11:22
7;0.46533443227123616;0.4541831781287101;0.454;0.4503259778300248;2023-05-07 04:12:52
8;0.46266279324364346;0.4522128342974862;0.4528;0.450136837349024;2023-05-07 04:14:29
9;0.4527270846314133;0.44949894828412534;0.4492;0.43936036987871924;2023-05-07 04:16:00
