epoch;precision;recall;f1;timestamp
0;0.014763031158110413;0.01924794927456125;0.0192;0.014780288088049286;;2023-05-05 16:57:42
1;0.021897763427906752;0.02552828716538447;0.0248;0.022039670883603618;;2023-05-05 16:57:46
2;0.024465399815936543;0.02592756862798735;0.0256;0.02394884433920511;;2023-05-05 16:57:50
3;0.03674858568619288;0.03802476869358937;0.0378;0.035362762925613585;;2023-05-05 16:57:55
4;0.05673555580854809;0.05526132759868192;0.055;0.0517077794292333;;2023-05-05 16:57:58
5;0.0737354748517431;0.06237724781007815;0.0634;0.0571634675593896;;2023-05-05 16:58:02
6;0.07788394359942105;0.0737586166042266;0.0736;0.06651943177611891;;2023-05-05 16:58:07
7;0.08257897534463464;0.07963931383898436;0.0798;0.07212848237462925;;2023-05-05 16:58:11
8;0.09295903450041511;0.08947239990818909;0.0904;0.080455808641742;;2023-05-05 16:58:15
9;0.0957055559833827;0.09313973942971727;0.0936;0.08414882255497223;;2023-05-05 16:58:19
