epoch;precision;recall;f1;timestamp
0;0.16024329529322046;0.15827915833470269;0.21526071526071527;0.12041212667462935;2023-05-06 23:14:34
1;0.4221563549746226;0.35112649381244854;0.4069069069069069;0.35056318728345903;2023-05-06 23:16:50
2;0.6211295313717112;0.5472073309991259;0.5894075894075894;0.5637183999382165;2023-05-06 23:18:59
3;0.6970020055664257;0.6398631502025443;0.6771771771771772;0.6540047432701075;2023-05-06 23:21:11
4;0.7238637574688126;0.6747198032628402;0.708981708981709;0.68809438947551;2023-05-06 23:23:33
5;0.7323293254744616;0.6993299911973182;0.7282282282282282;0.7064350694499717;2023-05-06 23:25:46
6;0.7625742704582962;0.7102299269545094;0.7441987441987442;0.7250075955024703;2023-05-06 23:28:05
7;0.7594440062604237;0.724006647782046;0.7495222495222496;0.7341426865998146;2023-05-06 23:30:26
8;0.7556106579794089;0.7307254590296691;0.7551187551187551;0.7387255230538832;2023-05-06 23:32:45
9;0.7683010047239378;0.7403887978057534;0.7642642642642643;0.7494147095943712;2023-05-06 23:35:05
