epoch;precision;recall;accuracy;f1;timestamp
0;0.23052928639956405;0.2224085779560358;0.27122577122577124;0.1974669335370619;2023-05-07 22:42:42
1;0.5558401887793865;0.5031324212757712;0.5427245427245427;0.5113618811935887;2023-05-07 22:42:54
2;0.6724523359887379;0.645430525901143;0.6714441714441715;0.6511540597988992;2023-05-07 22:43:08
3;0.7263998220577605;0.7138127773535907;0.7366912366912367;0.7147661263506369;2023-05-07 22:43:20
4;0.7634105868794279;0.7572300799103251;0.7742287742287742;0.7565986408266163;2023-05-07 22:43:33
5;0.7751855022045555;0.7702589216539023;0.7851487851487852;0.7683301663761583;2023-05-07 22:43:45
6;0.7926867429861884;0.7773516785888737;0.797024297024297;0.7818413081899896;2023-05-07 22:43:58
7;0.7744559811873948;0.7439347529693798;0.7626262626262627;0.7526438732150683;2023-05-07 22:44:10
8;0.7977965454987431;0.786991570946412;0.8064428064428064;0.7911116712134985;2023-05-07 22:44:22
9;0.7844974201335189;0.7707783502006865;0.7932022932022932;0.7762006099858357;2023-05-07 22:44:40
