epoch;precision;recall;accuracy;f1;timestamp
0;0.09383899484695465;0.08680793362578257;0.0872;0.06466576831914093;2023-05-08 03:06:47
1;0.1463056284399809;0.12213072402082382;0.1238;0.09756205860545497;2023-05-08 03:07:02
2;0.18671168753788858;0.15321263194837045;0.1544;0.13609970676006827;2023-05-08 03:07:17
3;0.20263642158347078;0.1689807528316761;0.1704;0.15248398726086917;2023-05-08 03:07:32
4;0.2046148072323447;0.1803516095590887;0.182;0.16855934351987423;2023-05-08 03:07:48
5;0.22728504252698112;0.18526839241664578;0.1868;0.1773020951994353;2023-05-08 03:08:02
6;0.2271012405303376;0.18664870083209234;0.1878;0.17876612359849656;2023-05-08 03:08:18
7;0.22077704520336813;0.19163871263817864;0.1924;0.1851032163743013;2023-05-08 03:08:33
8;0.21726658277458785;0.18861752169405574;0.1892;0.18132949803699755;2023-05-08 03:08:50
9;0.22123655390026983;0.1891520641387155;0.1904;0.18752080805401306;2023-05-08 03:09:05
