epoch;step;loss_value;timestamp
epoch;step;loss_value;timestamp
0;99;2.3748196458816526;2023-04-28 19:16:09
0;199;2.106900758743286;2023-04-28 19:16:12
0;299;2.027322998046875;2023-04-28 19:16:15
1;99;1.8827418959140778;2023-04-28 19:16:19
1;199;1.8303712320327759;2023-04-28 19:16:22
1;299;1.797192372083664;2023-04-28 19:16:25
2;99;1.6975886750221252;2023-04-28 19:16:30
2;199;1.658574912548065;2023-04-28 19:16:33
2;299;1.6354211616516112;2023-04-28 19:16:36
3;99;1.5332655727863311;2023-04-28 19:16:40
3;199;1.4993457639217376;2023-04-28 19:16:43
3;299;1.4905871474742889;2023-04-28 19:16:46
4;99;1.385759128332138;2023-04-28 19:16:51
4;199;1.3609167122840882;2023-04-28 19:16:54
4;299;1.3573894131183624;2023-04-28 19:16:56
5;99;1.2656761813163757;2023-04-28 19:17:01
5;199;1.2300183081626892;2023-04-28 19:17:04
5;299;1.2160017490386963;2023-04-28 19:17:07
6;99;1.1355303740501403;2023-04-28 19:17:12
6;199;1.0938041776418685;2023-04-28 19:17:15
6;299;1.074912302494049;2023-04-28 19:17:18
7;99;0.9995535904169083;2023-04-28 19:17:22
7;199;0.9806445795297623;2023-04-28 19:17:26
7;299;0.97991563975811;2023-04-28 19:17:28
8;99;0.8904933428764343;2023-04-28 19:17:33
8;199;0.8709276652336121;2023-04-28 19:17:36
8;299;0.8828789800405502;2023-04-28 19:17:39
9;99;0.7949417716264725;2023-04-28 19:17:44
9;199;0.7420308190584183;2023-04-28 19:17:47
9;299;0.7595638179779053;2023-04-28 19:17:50
