epoch;precision;recall;accuracy;f1;timestamp
0;0.2241272713302454;0.22312482920664004;0.2734097734097734;0.20111067065655147;2023-05-07 22:53:57
1;0.6338539862130605;0.5690436651418521;0.6096096096096096;0.5829746878929785;2023-05-07 22:55:21
2;0.7447297091144729;0.6773697254903016;0.7148512148512148;0.7008653823319749;2023-05-07 22:56:36
3;0.7706796770005147;0.7430593491709351;0.7668577668577669;0.7501493309779966;2023-05-07 22:57:48
4;0.7911166881363907;0.7728785311468658;0.788970788970789;0.7788545539664632;2023-05-07 22:59:01
5;0.7970099514245507;0.7803555209296126;0.7968877968877969;0.7853363486629973;2023-05-07 23:00:14
6;0.8061888771142041;0.794301194612703;0.806988806988807;0.7970656225786302;2023-05-07 23:01:26
7;0.8061909830478925;0.7935817719783244;0.8058968058968059;0.7967664497109257;2023-05-07 23:02:40
8;0.8153802998353233;0.8059982191348982;0.8181818181818182;0.8080684654283866;2023-05-07 23:03:53
9;0.8211260023509308;0.8077481224888852;0.8202293202293203;0.8122952954168887;2023-05-07 23:05:05
