epoch;step;loss_value;timestamp
epoch;step;loss_value;timestamp
0;99;2.4060580778121947;2023-04-28 19:02:59
0;199;2.3597470688819886;2023-04-28 19:03:13
0;299;2.347447898387909;2023-04-28 19:03:27
0;399;2.3103960609436034;2023-04-28 19:03:41
0;499;2.2840183639526366;2023-04-28 19:03:55
1;99;2.2459047627449036;2023-04-28 19:04:11
1;199;2.235898299217224;2023-04-28 19:04:25
1;299;2.195529029369354;2023-04-28 19:04:38
1;399;2.137661113739014;2023-04-28 19:04:52
1;499;2.0798198759555815;2023-04-28 19:05:05
2;99;2.038112894296646;2023-04-28 19:05:21
2;199;1.9889955139160156;2023-04-28 19:05:28
2;299;1.9064545941352844;2023-04-28 19:05:35
2;399;1.8278648090362548;2023-04-28 19:05:42
2;499;1.7481856453418732;2023-04-28 19:05:48
3;99;1.6579919290542602;2023-04-28 19:06:02
3;199;1.5930712461471557;2023-04-28 19:06:16
3;299;1.5254472196102142;2023-04-28 19:06:30
3;399;1.4753215503692627;2023-04-28 19:06:44
3;499;1.4140244674682618;2023-04-28 19:06:57
4;99;1.3364047157764434;2023-04-28 19:07:11
4;199;1.3034320151805878;2023-04-28 19:07:24
4;299;1.2378853738307953;2023-04-28 19:07:37
4;399;1.209763754606247;2023-04-28 19:07:50
4;499;1.1655839407444;2023-04-28 19:08:04
5;99;1.1049145025014877;2023-04-28 19:08:18
5;199;1.0893644547462464;2023-04-28 19:08:32
5;299;1.0336580270528792;2023-04-28 19:08:46
5;399;1.0232085639238357;2023-04-28 19:09:00
5;499;0.9927382642030715;2023-04-28 19:09:14
6;99;0.9241716492176056;2023-04-28 19:09:30
6;199;0.9290428996086121;2023-04-28 19:09:44
6;299;0.8842750716209412;2023-04-28 19:09:58
6;399;0.8838708370923996;2023-04-28 19:10:11
6;499;0.8512946379184723;2023-04-28 19:10:24
7;99;0.8027454853057862;2023-04-28 19:10:39
7;199;0.812355894446373;2023-04-28 19:10:52
7;299;0.7768185687065124;2023-04-28 19:11:04
7;399;0.7707423639297485;2023-04-28 19:11:17
7;499;0.7572711926698684;2023-04-28 19:11:30
8;99;0.7136887362599373;2023-04-28 19:11:45
8;199;0.7221141481399536;2023-04-28 19:11:57
8;299;0.6896847346425057;2023-04-28 19:12:08
8;399;0.6814489960670471;2023-04-28 19:12:21
8;499;0.6667982721328736;2023-04-28 19:12:33
9;99;0.6321866405010224;2023-04-28 19:12:47
9;199;0.6372372668981552;2023-04-28 19:12:59
9;299;0.6003760889172554;2023-04-28 19:13:12
9;399;0.6003332209587097;2023-04-28 19:13:25
9;499;0.5882647866010666;2023-04-28 19:13:38
