epoch;precision;recall;accuracy;f1;timestamp
0;0.40829555246827287;0.361073659234283;0.3602;0.34840978694667796;2023-05-08 01:21:19
1;0.45045013860942856;0.4128658234701608;0.4116;0.4065876833913241;2023-05-08 01:22:08
2;0.46520540391909815;0.4362192954909846;0.4358;0.43436642713270857;2023-05-08 01:22:59
3;0.48309009923977514;0.45350323184290725;0.4528;0.4499647730478388;2023-05-08 01:23:48
4;0.4871005751812908;0.4541461831314179;0.4534;0.449992145888919;2023-05-08 01:24:37
5;0.4874890079993913;0.4539046270624388;0.453;0.45239704550843485;2023-05-08 01:25:28
6;0.49521740321301416;0.4598576001774058;0.4586;0.4583595383641548;2023-05-08 01:26:18
7;0.49120898918442063;0.4682886168706263;0.4676;0.46982073945647684;2023-05-08 01:27:07
8;0.5075477559557473;0.4799237063533015;0.479;0.48015983090971304;2023-05-08 01:27:58
9;0.511521749588119;0.4825463386176486;0.4814;0.48386855807045226;2023-05-08 01:28:48
