epoch;precision;recall;accuracy;f1;timestamp
0;0.3187158471491439;0.3038425760097148;0.3058;0.28939881038967635;2023-05-08 01:48:34
1;0.3719233580412602;0.3674277688382223;0.3692;0.35483020361250883;2023-05-08 01:48:50
2;0.399134957891607;0.3952815543796656;0.3968;0.38197733527799255;2023-05-08 01:49:06
3;0.4313452047497298;0.42612900059378733;0.4268;0.4194438050352455;2023-05-08 01:49:23
4;0.44543707643533814;0.44112250018942484;0.4406;0.43533290304681393;2023-05-08 01:49:39
5;0.45276404179869767;0.4473848792015681;0.4476;0.44191815085799363;2023-05-08 01:49:56
6;0.4525260890353552;0.4477660950558532;0.447;0.44365579668529165;2023-05-08 01:50:12
7;0.4578823432387935;0.44996188788753255;0.4488;0.44609389317410153;2023-05-08 01:50:27
8;0.47023158620219024;0.4607227037469154;0.4598;0.45912596553600993;2023-05-08 01:50:44
9;0.4665193389493498;0.4553215963016871;0.4546;0.45570032232092456;2023-05-08 01:51:00
