epoch_number,batch_size,framework,dataset,model,power,temp,mem_used,gpu_util,mem_util,total_time,precision,recall,accuracy,f1,energy
9,32,pytorch,SVHN,resnet50,97.226,33.294,6721.0,39.477,11.168,40.0,0.843,0.832,0.845,0.836,3889.04
9,64,pytorch,CIFAR10,resnet101,133.317,38.352,5597.0,52.759,18.37,27.0,0.484,0.468,0.468,0.464,3599.559
9,64,pytorch,CIFAR10,resnet152,121.58,36.94,5725.0,46.76,15.506,42.5,0.468,0.455,0.455,0.452,5167.15
9,64,pytorch,CIFAR10,resnet50,123.486,37.067,5437.0,50.987,20.688,15.0,0.502,0.484,0.484,0.484,1852.29
9,64,pytorch,CIFAR100,resnet101,135.792,38.615,5599.0,54.115,19.135,26.0,0.212,0.184,0.186,0.178,3530.592
9,64,pytorch,CIFAR100,resnet152,124.588,37.51,5727.0,48.736,16.143,40.0,0.195,0.16,0.161,0.154,4983.52
9,64,pytorch,CIFAR100,resnet50,108.911,35.643,5441.0,40.691,16.432,18.5,0.22,0.19,0.191,0.182,2014.854
9,64,pytorch,SVHN,resnet101,136.541,38.568,7035.0,54.959,19.189,37.0,0.787,0.774,0.79,0.777,5052.017
9,64,pytorch,SVHN,resnet152,132.595,38.123,7163.0,53.098,17.122,55.0,0.752,0.715,0.742,0.726,7292.725
9,64,pytorch,SVHN,resnet50,115.855,35.979,6875.0,43.843,18.275,24.0,0.814,0.81,0.822,0.81,2780.52
10,128,pytorch,CIFAR10,resnet101,153.749,41.956,5687.0,59.271,24.654,15.5,0.46,0.453,0.452,0.452,2383.11
10,128,pytorch,CIFAR10,resnet152,169.277,42.795,5955.0,65.511,24.966,21.0,0.444,0.43,0.429,0.429,3554.817
10,128,pytorch,CIFAR10,resnet50,145.55,39.661,5405.0,56.461,24.55,9.5,0.482,0.478,0.478,0.477,1382.725
10,128,pytorch,CIFAR100,resnet101,162.832,42.795,5691.0,67.671,27.219,14.5,0.187,0.171,0.175,0.166,2361.064
10,128,pytorch,CIFAR100,resnet152,171.224,43.119,5929.0,65.762,25.095,21.0,0.165,0.155,0.159,0.148,3595.704
10,128,pytorch,CIFAR100,resnet50,157.139,39.833,5407.0,56.389,25.5,9.0,0.192,0.18,0.183,0.178,1414.251
10,128,pytorch,SVHN,resnet101,170.792,43.152,7439.0,66.883,27.152,20.5,0.742,0.727,0.75,0.73,3501.236
10,128,pytorch,SVHN,resnet152,174.264,43.879,7249.0,70.31,27.103,29.0,0.734,0.706,0.733,0.714,5053.656
10,128,pytorch,SVHN,resnet50,129.866,38.722,7157.0,46.889,21.167,15.5,0.78,0.766,0.787,0.77,2012.923
10,256,pytorch,CIFAR10,resnet101,191.097,45.823,6535.0,72.55,36.255,10.5,0.426,0.427,0.427,0.422,2006.519
10,256,pytorch,CIFAR10,resnet152,204.701,47.055,6869.0,77.693,36.088,14.5,0.434,0.432,0.433,0.428,2968.164
10,256,pytorch,CIFAR10,resnet50,172.675,42.833,6107.0,69.75,36.667,6.0,0.455,0.456,0.455,0.449,1036.05
10,256,pytorch,CIFAR100,resnet101,184.937,46.2,6539.0,72.05,36.1,10.0,0.14,0.14,0.144,0.132,1849.37
10,256,pytorch,CIFAR100,resnet152,192.861,47.083,6871.0,79.121,35.717,14.5,0.144,0.142,0.145,0.131,2796.484
10,256,pytorch,CIFAR100,resnet50,178.893,42.595,6109.0,61.738,33.726,6.5,0.173,0.166,0.169,0.162,1162.804
10,256,pytorch,SVHN,resnet101,189.224,46.633,7829.0,72.833,36.167,15.0,0.714,0.707,0.73,0.708,2838.36
10,256,pytorch,SVHN,resnet152,199.699,47.9,8163.0,77.075,36.725,20.0,0.652,0.632,0.661,0.638,3993.98
10,256,pytorch,SVHN,resnet50,179.612,43.174,7401.0,64.104,34.986,8.5,0.711,0.698,0.716,0.7,1526.702
10,32,pytorch,CIFAR10,resnet101,83.442,32.371,5413.0,38.914,7.679,54.0,0.508,0.475,0.474,0.476,4505.868
10,32,pytorch,CIFAR10,resnet152,72.695,30.821,5687.0,38.587,6.043,81.5,0.476,0.45,0.45,0.444,5924.642
10,32,pytorch,CIFAR10,resnet50,86.229,32.309,5281.0,37.865,10.318,30.5,0.538,0.504,0.503,0.503,2629.984
10,32,pytorch,CIFAR100,resnet101,85.409,31.71,5419.0,38.716,7.731,53.5,0.242,0.188,0.189,0.186,4569.382
10,32,pytorch,CIFAR100,resnet152,87.676,32.483,5689.0,39.12,6.666,74.5,0.215,0.156,0.156,0.15,6531.862
10,32,pytorch,CIFAR100,resnet50,87.797,32.235,5287.0,36.717,9.856,31.5,0.234,0.202,0.203,0.198,2765.606
10,32,pytorch,SVHN,resnet101,98.458,34.0,6937.0,40.465,8.722,72.0,0.814,0.795,0.81,0.801,7088.976
10,32,pytorch,SVHN,resnet152,86.629,32.334,7125.0,38.698,6.638,112.0,0.774,0.742,0.766,0.75,9702.448
10,32,pytorch,SVHN,resnet50,82.03,31.983,6721.0,35.679,9.392,48.5,0.834,0.834,0.84,0.832,3978.455
10,64,pytorch,CIFAR10,resnet101,129.882,38.383,5597.0,52.655,18.761,26.5,0.49,0.474,0.474,0.473,3441.873
10,64,pytorch,CIFAR10,resnet152,121.595,36.942,5725.0,45.965,15.291,43.0,0.462,0.449,0.449,0.446,5228.585
10,64,pytorch,CIFAR10,resnet50,120.911,36.893,5437.0,49.372,20.214,15.5,0.513,0.5,0.5,0.499,1874.12
10,64,pytorch,CIFAR100,resnet101,131.388,38.437,5599.0,54.671,19.145,25.5,0.21,0.178,0.18,0.174,3350.394
10,64,pytorch,CIFAR100,resnet152,130.814,37.539,5727.0,49.927,16.316,40.0,0.206,0.17,0.171,0.164,5232.56
10,64,pytorch,CIFAR100,resnet50,119.712,36.006,5441.0,44.433,17.967,16.5,0.219,0.19,0.191,0.188,1975.248
10,64,pytorch,SVHN,resnet101,126.223,38.566,7035.0,54.171,19.276,38.0,0.796,0.778,0.798,0.784,4796.474
10,64,pytorch,SVHN,resnet152,129.067,37.936,7163.0,52.255,17.082,56.0,0.752,0.729,0.752,0.736,7227.752
10,64,pytorch,SVHN,resnet50,115.811,35.918,6875.0,43.373,17.972,24.5,0.822,0.815,0.829,0.815,2837.37
