 ; 1; 2; 4; 8; 16; 32
1; 0.195197; 0.0993177; 0.0463844; 0.034927; 0.0188933; 0.0202276; 
2; 0.132344; 0.0750681; 0.0383542; 0.0278419; 0.0212959; 0.0209589; 
3; 0.187701; 0.096174; 0.0447843; 0.0303122; 0.0224997; 0.0177695; 
4; 0.216569; 0.0922293; 0.0428264; 0.0290477; 0.024884; 0.0179588; 
5; 0.175218; 0.090641; 0.0697554; 0.0288758; 0.0231998; 0.014526; 
6; 0.166743; 0.0910055; 0.0485691; 0.031146; 0.0220285; 0.0202718; 
7; 0.131162; 0.0828774; 0.0393853; 0.0263433; 0.0234433; 0.0136847; 
8; 0.15059; 0.0650257; 0.0500785; 0.0363098; 0.0178127; 0.0100739; 
9; 0.171955; 0.0796362; 0.0398485; 0.02513; 0.021064; 0.0095491; 
10; 0.14009; 0.0823696; 0.0336798; 0.0323712; 0.0161604; 0.0080039; 
11; 0.117694; 0.0640102; 0.0412701; 0.0275222; 0.0112382; 0.0066014; 
12; 0.174298; 0.0783347; 0.0405637; 0.0257169; 0.0120303; 0.0046648; 
13; 0.173184; 0.0745858; 0.0414908; 0.0210913; 0.0072306; 0.0040079; 
14; 0.16074; 0.0790396; 0.0512368; 0.0193281; 0.0091399; 0.0043299; 
15; 0.130914; 0.0700334; 0.0318816; 0.0219372; 0.0117804; 0.0042245; 
16; 0.175847; 0.0925643; 0.0357155; 0.0185557; 0.0076004; 0.0050546; 
17; 0.182812; 0.0625176; 0.0294768; 0.0159375; 0.0078325; 0.0042004; 
18; 0.182695; 0.0586119; 0.0322599; 0.0154043; 0.0081848; 0.0047561; 
