 ; 1; 2; 4; 8; 16; 32
1; 0.12711; 0.0767235; 0.0354898; 0.0262621; 0.0211952; 0.0100045; 
2; 0.116004; 0.064879; 0.0430466; 0.0304033; 0.0406707; 0.0132883; 
3; 0.150526; 0.0916886; 0.0492931; 0.0274282; 0.0200323; 0.0117611; 
4; 0.171189; 0.0731644; 0.0609888; 0.0457627; 0.0218625; 0.0216758; 
5; 0.210701; 0.113244; 0.0391105; 0.0273225; 0.0234588; 0.0132379; 
6; 0.124658; 0.0956718; 0.0459119; 0.0283437; 0.0207791; 0.0110167; 
7; 0.115949; 0.0786186; 0.03711; 0.030887; 0.0247047; 0.0059411; 
8; 0.177244; 0.0861061; 0.0427989; 0.0343832; 0.0179745; 0.003417; 
9; 0.121161; 0.0582272; 0.0392273; 0.0311242; 0.01973; 0.0073921; 
10; 0.203262; 0.0821019; 0.048392; 0.0285169; 0.0148625; 0.006374; 
11; 0.237432; 0.0768917; 0.0533499; 0.0349488; 0.0162778; 0.0068958; 
12; 0.138031; 0.0660438; 0.0352698; 0.0253227; 0.0130093; 0.0064717; 
13; 0.122409; 0.0864191; 0.0446582; 0.0208549; 0.0086048; 0.0045147; 
14; 0.119876; 0.0803494; 0.0392665; 0.0271297; 0.0085891; 0.0036602; 
15; 0.191376; 0.0704214; 0.0374216; 0.0140146; 0.0070319; 0.004998; 
16; 0.183486; 0.0773168; 0.0348235; 0.0138097; 0.0077792; 0.0040419; 
17; 0.169348; 0.0730889; 0.0307439; 0.0155817; 0.0075944; 0.003895; 
18; 0.195072; 0.0741684; 0.032702; 0.0168352; 0.0084529; 0.0044397; 
