 ; 1; 2; 4; 8; 16; 32
1; 0.153771; 0.0721066; 0.0480914; 0.0282898; 0.0200999; 0.0101747; 
2; 0.130046; 0.0786822; 0.0468322; 0.0293178; 0.0217388; 0.016266; 
3; 0.115458; 0.0938773; 0.0409853; 0.0280342; 0.0205244; 0.0220007; 
4; 0.175837; 0.0817147; 0.0717181; 0.0308522; 0.0246555; 0.0067419; 
5; 0.150084; 0.080627; 0.062904; 0.0265164; 0.0171346; 0.0190733; 
6; 0.118832; 0.0704653; 0.0468391; 0.0278494; 0.0209417; 0.0088594; 
7; 0.139862; 0.0746457; 0.0496819; 0.0314888; 0.021305; 0.0086629; 
8; 0.150621; 0.0794504; 0.0428607; 0.0262537; 0.0200111; 0.0080218; 
9; 0.175058; 0.113493; 0.0446303; 0.0273504; 0.01854; 0.0091808; 
10; 0.149985; 0.131813; 0.0472808; 0.0271081; 0.0171672; 0.0113865; 
11; 0.187049; 0.0954504; 0.0586033; 0.0307504; 0.0144346; 0.0067224; 
12; 0.137987; 0.0915723; 0.0433571; 0.0277812; 0.0136853; 0.0057384; 
13; 0.131052; 0.0676612; 0.035775; 0.0250079; 0.0138859; 0.0040063; 
14; 0.144944; 0.0708418; 0.0318889; 0.0255504; 0.0101204; 0.0044363; 
15; 0.141046; 0.0859083; 0.0441224; 0.0164438; 0.0075366; 0.0041959; 
16; 0.121078; 0.0698567; 0.0328631; 0.0184224; 0.0124518; 0.0044582; 
17; 0.14768; 0.0654556; 0.0442474; 0.018135; 0.0109136; 0.0066728; 
18; 0.127618; 0.07733; 0.0297248; 0.0181591; 0.0079582; 0.006597; 
