 ; 1; 2; 4; 8; 16; 32
1; 0.141206; 0.119765; 0.0493201; 0.0354494; 0.0201946; 0.0198585; 
2; 0.171168; 0.0735584; 0.0455217; 0.0306562; 0.0246174; 0.0228934; 
3; 0.164118; 0.084565; 0.0513478; 0.041075; 0.0198159; 0.0205785; 
4; 0.145586; 0.0755563; 0.0527274; 0.0342739; 0.0233191; 0.0122828; 
5; 0.173346; 0.0994066; 0.0503934; 0.0257035; 0.0202134; 0.0116529; 
6; 0.167664; 0.0803864; 0.0352949; 0.0348317; 0.0194989; 0.010961; 
7; 0.128323; 0.0781455; 0.0377565; 0.030233; 0.0198667; 0.0119208; 
8; 0.128278; 0.0943926; 0.0410569; 0.0292639; 0.0163092; 0.0090819; 
9; 0.159912; 0.0670668; 0.0364172; 0.0292528; 0.0169452; 0.008378; 
10; 0.154932; 0.0904791; 0.0554831; 0.0348101; 0.0182703; 0.0084; 
11; 0.150159; 0.0881116; 0.0451171; 0.0248443; 0.0134661; 0.0081227; 
12; 0.18326; 0.0878526; 0.0421097; 0.0255277; 0.0160077; 0.0046321; 
13; 0.114514; 0.0684618; 0.0376906; 0.0270973; 0.0069934; 0.0037909; 
14; 0.135677; 0.08269; 0.0393785; 0.0154804; 0.0074456; 0.0042388; 
15; 0.123797; 0.0730417; 0.0385666; 0.0196732; 0.0073566; 0.0051376; 
16; 0.152309; 0.0636509; 0.0362877; 0.0153243; 0.0069819; 0.0058816; 
17; 0.179613; 0.0674019; 0.0487417; 0.0160461; 0.0078944; 0.0055304; 
18; 0.143781; 0.0705401; 0.0359709; 0.0153332; 0.0073955; 0.0039222; 
