 ; 1; 2; 4; 8; 16; 32
1; 0.0866705; 0.0452529; 0.0284906; 0.0249553; 0.0222929; 0.010994; 
2; 0.0861637; 0.0448911; 0.0263554; 0.0246783; 0.0216585; 0.011374; 
3; 0.086146; 0.0446031; 0.0259242; 0.0271441; 0.0214819; 0.0224037; 
4; 0.087191; 0.0449941; 0.0267298; 0.0240094; 0.0264451; 0.014118; 
5; 0.0872566; 0.0446935; 0.0386771; 0.0273434; 0.0243177; 0.0123562; 
6; 0.0892779; 0.0460088; 0.0348859; 0.0259356; 0.0220663; 0.0138127; 
7; 0.0870315; 0.0454805; 0.0274685; 0.0226351; 0.0195866; 0.0116845; 
8; 0.087427; 0.0454735; 0.0272792; 0.0262798; 0.0239528; 0.0121761; 
9; 0.0869792; 0.05094; 0.0260859; 0.0212731; 0.0193144; 0.0113736; 
10; 0.0976664; 0.100259; 0.047024; 0.0363054; 0.0229021; 0.0096379; 
11; 0.13316; 0.078224; 0.0372855; 0.0264497; 0.0192094; 0.0061919; 
12; 0.126864; 0.0989833; 0.0446476; 0.0319335; 0.0125077; 0.0053722; 
13; 0.117444; 0.0716973; 0.0382753; 0.024966; 0.0077272; 0.0044171; 
14; 0.131729; 0.0856699; 0.0422799; 0.0169817; 0.0085751; 0.0045937; 
15; 0.124735; 0.0794124; 0.0386862; 0.0148046; 0.0075276; 0.0044322; 
16; 0.127262; 0.0616516; 0.0313796; 0.0146357; 0.0081959; 0.0045414; 
17; 0.152563; 0.0834655; 0.0495135; 0.0153035; 0.008691; 0.0068342; 
18; 0.138039; 0.0671484; 0.0294277; 0.0144761; 0.0128885; 0.0058717; 
